Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\temporal22_#015.dat
Data.................: 31/01/2005
Hora.................: 15:44:24
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
24.92	24.80	24.33	24.24	25.51	31.68	26.29	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.4479E-004	         3.1384E-005	         1.4815E-004	         3.1003E-007	         3.7941E-007	         3.1607E-007	         1.9223E+002
 2	        -7.7704E-004	         1.1406E-003	         1.3810E-003	         6.1471E-004	         9.0901E-004	         1.0238E-004	         1.5213E+002
 3	        -9.4697E-002	        -5.9332E-001	         6.0085E-001	         8.6639E-002	         5.4174E-001	         1.1653E-002	         2.6977E+001
 4	         4.0992E+000	         1.1785E+001	         1.2498E+001	         4.1145E+000	         1.1453E+001	         1.2256E+000	         1.7705E+001
 5	         4.1703E+003	         3.7575E+003	         5.6136E+003	         4.1752E+003	         3.7601E+003	         2.3938E+002	         1.8840E+002
 6	        -1.0019E+005	         1.8976E+005	         2.1474E+005	         1.0313E+005	         1.9405E+005	         1.5673E+004	         1.6964E+002
 7	        -4.2245E+006	         1.7936E+007	         1.8472E+007	         4.6333E+006	         1.8606E+007	         1.3321E+006	         3.4904E+002
 8	         5.4779E+008	        -3.5638E+009	         3.6121E+009	         6.1077E+008	         3.7332E+009	         1.7884E+008	         3.4984E+002
 9	        -1.4948E+011	        -6.3279E+010	         1.6244E+011	         1.5803E+011	         6.7805E+010	         1.5779E+010	         2.5494E+000
10	        -1.1567E+013	         1.2132E+013	         1.7022E+013	         1.2533E+013	         1.3329E+013	         2.7730E+012	         1.7536E+002
