Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\Translado22_X=-17_#004.dat
Data.................: 31/01/2005
Hora.................: 11:40:26
Ganho................: 5
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         2.2019E-004	        -3.5097E-005	         2.2297E-004	         6.3582E-007	         6.7770E-007	         5.5015E-007	         1.7094E+002
 2	         1.6207E-002	         1.5096E-002	         2.2149E-002	         1.2813E-002	         1.1935E-002	         1.1104E-004	         2.1484E+001
 3	        -5.9766E+000	        -6.3369E+000	         8.7107E+000	         5.4559E+000	         5.7847E+000	         9.0328E-003	         1.5559E+001
 4	         2.8463E+002	         5.5609E+002	         6.2471E+002	         2.7560E+002	         5.3844E+002	         6.0380E-001	         1.5724E+001
 5	         5.1096E+004	         2.7474E+004	         5.8014E+004	         5.1096E+004	         2.7475E+004	         8.6590E+001	         1.8565E+002
 6	        -4.1050E+006	        -3.6826E+006	         5.5147E+006	         4.1896E+006	         3.7585E+006	         9.8907E+003	         1.8698E+002
 7	        -2.8456E+008	        -1.5902E+008	         3.2598E+008	         2.9455E+008	         1.6461E+008	         1.4672E+006	         4.1711E+000
 8	         3.2072E+010	         1.3639E+010	         3.4853E+010	         3.3542E+010	         1.4267E+010	         8.4313E+007	         2.8798E+000
 9	         1.3713E+012	         1.1837E+012	         1.8118E+012	         1.4455E+012	         1.2487E+012	         3.3893E+010	         1.8453E+002
10	        -2.2568E+014	        -3.3202E+013	         2.2812E+014	         2.3938E+014	         3.5350E+013	         2.6362E+012	         1.8084E+002
