Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\Translado22_X=-3_#018.dat
Data.................: 31/01/2005
Hora.................: 12:10:40
Ganho................: 5
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.6476E-004	         6.7485E-006	         1.6490E-004	         7.6960E-007	         3.2941E-007	         7.8035E-007	         1.8235E+002
 2	        -2.7661E-004	         3.9841E-003	         3.9939E-003	         2.2330E-004	         3.1503E-003	         5.9236E-005	         1.3699E+002
 3	        -1.6421E-002	        -5.3351E-001	         5.3389E-001	         1.9845E-002	         4.8705E-001	         4.9845E-003	         2.9412E+001
 4	        -3.4097E+001	        -1.5246E+001	         3.7361E+001	         3.3016E+001	         1.4802E+001	         5.6029E-001	         1.8602E+002
 5	         4.7737E+003	         3.5796E+003	         5.9676E+003	         4.7742E+003	         3.5807E+003	         1.8706E+001	         1.8737E+002
 6	         1.8832E+004	        -2.5974E+005	         2.6059E+005	         2.1908E+004	         2.6524E+005	         8.6890E+003	         3.4569E+002
 7	        -1.6440E+007	         4.8267E+007	         5.1000E+007	         1.7055E+007	         4.9966E+007	         7.5000E+005	         3.4983E+002
 8	         9.8272E+008	         5.3149E+008	         1.1386E+009	         1.0444E+009	         6.0939E+008	         1.9170E+008	         3.5508E+000
 9	         2.7455E+010	        -5.2622E+011	         5.2718E+011	         3.3659E+010	         5.5501E+011	         1.8406E+010	         1.7033E+002
10	        -1.0534E+012	         3.1241E+013	         3.1266E+013	         1.3799E+012	         3.3163E+013	         1.3472E+012	         1.7119E+002
