Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\temporal22_#006.dat
Data.................: 31/01/2005
Hora.................: 15:10:19
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
24.58	24.75	24.18	23.97	24.67	29.86	25.60	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.4500E-004	         3.1121E-005	         1.4830E-004	         7.9897E-007	         3.7116E-007	         7.2035E-007	         1.9211E+002
 2	        -7.6897E-004	         1.1353E-003	         1.3763E-003	         6.1765E-004	         9.0483E-004	         8.6933E-005	         1.5206E+002
 3	        -9.0854E-002	        -5.7990E-001	         5.8700E-001	         8.3157E-002	         5.2946E-001	         9.1418E-003	         2.7032E+001
 4	         4.2144E+000	         1.1780E+001	         1.2537E+001	         4.1474E+000	         1.1446E+001	         7.9959E-001	         1.7579E+001
 5	         4.2381E+003	         3.6944E+003	         5.6239E+003	         4.2407E+003	         3.6962E+003	         1.1406E+002	         1.8822E+002
 6	        -9.8660E+004	         1.8935E+005	         2.1405E+005	         1.0114E+005	         1.9464E+005	         1.8527E+004	         1.6959E+002
 7	        -3.9083E+006	         1.8350E+007	         1.8771E+007	         4.1020E+006	         1.9076E+007	         1.7652E+006	         3.4886E+002
 8	         4.4885E+008	        -3.4931E+009	         3.5299E+009	         5.3515E+008	         3.6564E+009	         1.3416E+008	         3.4967E+002
 9	        -1.5114E+011	        -6.8535E+010	         1.6828E+011	         1.6244E+011	         7.6982E+010	         2.7179E+010	         2.7103E+000
10	        -1.2372E+013	         1.1752E+013	         1.7355E+013	         1.3520E+013	         1.2724E+013	         2.1453E+012	         1.7565E+002
