Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\Temporal_#001.dat
Data.................: 31/01/2005
Hora.................: 13:26:24
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
24.68	24.77	24.26	24.24	24.80	29.28	26.05	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.6109E-004	         1.9182E-005	         1.6223E-004	         3.6200E-007	         6.3796E-007	         3.7821E-007	         1.8679E+002
 2	        -1.0820E-003	        -5.3329E-006	         1.0840E-003	         8.6307E-004	         7.4347E-005	         1.1541E-004	         1.8014E+002
 3	        -5.9425E-002	        -5.6536E-001	         5.6857E-001	         5.5446E-002	         5.1654E-001	         2.1067E-002	         2.8000E+001
 4	         2.0279E+001	         2.7783E+001	         3.4446E+001	         1.9692E+001	         2.6943E+001	         5.2211E-001	         1.3468E+001
 5	         3.5744E+003	         4.9148E+003	         6.0776E+003	         3.5835E+003	         4.9272E+003	         4.2353E+002	         1.9079E+002
 6	        -1.2731E+005	         2.1361E+005	         2.4930E+005	         1.3192E+005	         2.2015E+005	         3.2653E+004	         1.7013E+002
 7	        -5.4740E+006	        -8.1705E+006	         1.0413E+007	         6.6903E+006	         9.0075E+006	         2.7630E+006	         8.0256E+000
 8	        -1.0970E+009	        -3.7283E+009	         3.8939E+009	         1.1818E+009	         3.9016E+009	         1.6125E+008	         1.8920E+002
 9	        -2.3337E+011	        -9.2608E+009	         2.3385E+011	         2.4691E+011	         1.5976E+010	         2.1054E+010	         2.5249E-001
10	        -2.9154E+012	         1.4819E+012	         4.7935E+012	         4.2953E+012	         3.0746E+012	         7.1880E+011	         1.7731E+002
