Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 1.1442E-004	        -1.5534E-004	  5.3037E-002	         6.3720E-002	 -5.1925E+000	        -9.1255E+000	 -4.7760E+002	         1.4310E+001	  4.5462E-007	 6.8784E-007	 5.1642E-007	
 1.6241E-004	        -9.7517E-005	  4.1609E-002	         4.5127E-002	 -6.2777E+000	        -8.7084E+000	 -2.2134E+002	         2.2606E+002	  7.0421E-007	 9.4320E-007	 8.8608E-007	
 1.9841E-004	        -6.0066E-005	  2.8704E-002	         2.9429E-002	 -6.4907E+000	        -7.8358E+000	  4.7663E+001	         4.1720E+002	  7.0594E-007	 5.9201E-007	 6.2717E-007	
 2.2019E-004	        -3.5097E-005	  1.6207E-002	         1.5096E-002	 -5.9766E+000	        -6.3369E+000	  2.8463E+002	         5.5609E+002	  6.3582E-007	 6.7770E-007	 5.5015E-007	
 2.3128E-004	        -2.3887E-005	  5.3402E-003	         4.2494E-003	 -4.8814E+000	        -4.5675E+000	  4.4240E+002	         6.2585E+002	  4.5875E-007	 6.3770E-007	 5.0553E-007	
 2.3284E-004	        -2.2544E-005	 -3.0517E-003	        -2.6218E-003	 -3.4431E+000	        -2.7423E+000	  5.0012E+002	         6.1606E+002	  8.3881E-007	 3.8542E-007	 8.5419E-007	
 2.2687E-004	        -2.6214E-005	 -8.4394E-003	        -6.3879E-003	 -1.9734E+000	        -1.0345E+000	  4.7199E+002	         5.2593E+002	  9.1948E-007	 3.2418E-007	 9.2599E-007	
 2.1727E-004	        -3.1769E-005	 -1.1117E-002	        -6.9757E-003	 -6.9338E-001	         3.0387E-001	  3.7952E+002	         3.7986E+002	  4.3236E-007	 6.0487E-007	 4.0116E-007	
 2.0691E-004	        -3.6081E-005	 -1.1558E-002	        -5.1538E-003	  2.4612E-001	         1.1450E+000	  2.5632E+002	         2.1151E+002	  7.9636E-007	 7.0652E-007	 8.5709E-007	
 1.9507E-004	        -3.9090E-005	 -1.0416E-002	        -2.5208E-003	  8.3341E-001	         1.5219E+000	  1.3903E+002	         5.0594E+001	  4.3328E-007	 7.2586E-007	 4.4695E-007	
