Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\temporal22_#011.dat
Data.................: 31/01/2005
Hora.................: 15:26:56
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
24.69	24.75	24.26	24.14	24.93	31.02	26.04	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.4496E-004	         3.7679E-005	         1.4978E-004	         5.9757E-007	         7.1122E-007	         6.2194E-007	         1.9457E+002
 2	        -9.2885E-004	         9.3613E-004	         1.3190E-003	         7.3654E-004	         7.4382E-004	         9.0153E-005	         1.5739E+002
 3	        -9.2450E-002	        -6.1715E-001	         6.2404E-001	         8.4439E-002	         5.6345E-001	         9.1877E-003	         2.7160E+001
 4	         3.8391E+000	         1.2315E+001	         1.2911E+001	         3.7582E+000	         1.1932E+001	         3.6953E-001	         1.8172E+001
 5	         4.1380E+003	         3.8381E+003	         5.6444E+003	         4.1408E+003	         3.8387E+003	         1.4649E+002	         1.8857E+002
 6	        -1.0637E+005	         1.8182E+005	         2.1109E+005	         1.0919E+005	         1.8592E+005	         6.0151E+003	         1.7005E+002
 7	        -3.8734E+006	         1.7749E+007	         1.8208E+007	         4.1978E+006	         1.8437E+007	         1.4347E+006	         3.4890E+002
 8	         5.4460E+008	        -3.3762E+009	         3.4215E+009	         5.8835E+008	         3.5356E+009	         2.0083E+008	         3.4990E+002
 9	        -1.4871E+011	        -5.9140E+010	         1.6062E+011	         1.5803E+011	         6.4424E+010	         2.0758E+010	         2.4097E+000
10	        -1.2194E+013	         1.0872E+013	         1.6481E+013	         1.3349E+013	         1.1715E+013	         3.0423E+012	         1.7583E+002
