Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\temporal22_#007.dat
Data.................: 31/01/2005
Hora.................: 15:12:50
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
24.68	24.75	24.25	24.12	24.85	30.49	25.98	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.4532E-004	         3.1134E-005	         1.4862E-004	         3.2328E-007	         7.7012E-007	         3.8777E-007	         1.9209E+002
 2	        -7.4886E-004	         1.1367E-003	         1.3618E-003	         5.9726E-004	         9.0388E-004	         1.1632E-004	         1.5169E+002
 3	        -1.0160E-001	        -5.7938E-001	         5.8836E-001	         9.3585E-002	         5.2917E-001	         1.5510E-002	         2.6685E+001
 4	         3.7299E+000	         1.1789E+001	         1.2398E+001	         3.6908E+000	         1.1463E+001	         8.0452E-001	         1.8111E+001
 5	         4.2991E+003	         3.6683E+003	         5.6520E+003	         4.2999E+003	         3.6695E+003	         9.2938E+001	         1.8809E+002
 6	        -9.5650E+004	         1.7816E+005	         2.0234E+005	         9.7796E+004	         1.8236E+005	         1.2763E+004	         1.6970E+002
 7	        -4.8204E+006	         1.8600E+007	         1.9240E+007	         5.1062E+006	         1.9276E+007	         9.0540E+005	         3.4922E+002
 8	         5.1854E+008	        -3.2607E+009	         3.3070E+009	         5.7986E+008	         3.4135E+009	         1.4369E+008	         3.4988E+002
 9	        -1.4594E+011	        -7.1326E+010	         1.6301E+011	         1.5401E+011	         7.7141E+010	         1.0949E+010	         2.8941E+000
10	        -1.3348E+013	         1.1827E+013	         1.8042E+013	         1.4449E+013	         1.3003E+013	         3.2776E+012	         1.7585E+002
