Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=-19_#002.dat
Data.................: 25/01/2005
Hora.................: 13:36:48
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.2014E-005	        -4.3891E-005	         1.0195E-004	         1.8307E-007	         1.3549E-007	         1.7168E-007	         1.5450E+002
 2	         5.9694E-005	        -1.0843E-003	         1.0861E-003	         5.0995E-005	         8.5741E-004	         1.6851E-005	         3.1658E+002
 3	        -7.1189E-003	        -5.1805E-003	         8.8986E-003	         6.5565E-003	         4.9173E-003	         6.9651E-004	         1.2015E+001
 4	         1.3116E-001	         1.1325E-001	         1.9068E-001	         1.2734E-001	         1.5966E-001	         7.5112E-002	         1.0202E+001
 5	        -1.7974E+001	        -5.6234E+000	         2.9655E+001	         2.1282E+001	         2.4380E+001	         6.0542E+000	         3.4746E+000
 6	         5.2235E+002	         9.8169E+002	         2.1097E+003	         7.8346E+002	         2.7339E+003	         1.6680E+003	         1.0330E+001
 7	        -2.1613E+004	        -2.2097E+004	         2.3488E+005	         9.8809E+004	         2.9010E+005	         1.5852E+005	         6.5193E+000
 8	         2.5824E+007	         1.4198E+007	         4.3830E+007	         3.0886E+007	         3.9290E+007	         1.5231E+007	         3.6002E+000
 9	        -1.1640E+009	         2.5961E+008	         2.9446E+009	         1.7952E+009	         2.9469E+009	         1.1253E+009	         3.5860E+002
10	         2.2492E+011	         1.1895E+011	         3.3893E+011	         2.8315E+011	         3.1867E+011	         2.1501E+011	         2.7872E+000
