Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=-16_#005.dat
Data.................: 25/01/2005
Hora.................: 13:42:38
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.2223E-005	        -4.6919E-005	         1.0347E-004	         3.5931E-007	         2.1869E-007	         3.6157E-007	         1.5304E+002
 2	         3.2998E-005	        -1.1070E-003	         1.1077E-003	         3.6251E-005	         8.7530E-004	         1.4412E-005	         3.1585E+002
 3	        -7.2403E-003	        -4.2071E-003	         8.4908E-003	         6.7172E-003	         4.2513E-003	         1.5148E-003	         1.0053E+001
 4	         7.6610E-002	         6.3483E-002	         1.8485E-001	         1.2446E-001	         1.7616E-001	         8.3073E-002	         9.9117E+000
 5	        -1.5482E+001	        -3.5836E+000	         2.1899E+001	         1.8160E+001	         1.6429E+001	         7.9624E+000	         2.6065E+000
 6	         2.0574E+003	         9.5896E+002	         2.9999E+003	         2.7605E+003	         1.9534E+003	         1.1229E+003	         4.1651E+000
 7	        -9.1519E+004	        -6.0450E+004	         2.0228E+005	         1.5039E+005	         1.8488E+005	         8.8332E+004	         4.7779E+000
 8	         1.3337E+007	        -3.5820E+006	         3.5901E+007	         2.8771E+007	         3.1173E+007	         1.4771E+007	         3.5812E+002
 9	        -2.6040E+009	        -2.5030E+007	         2.9381E+009	         3.2373E+009	         1.2102E+009	         1.4478E+009	         6.1189E-002
10	         1.5013E+011	         5.2612E+010	         4.3110E+011	         2.4669E+011	         4.3559E+011	         1.4647E+011	         1.9312E+000
