Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=17_#038.dat
Data.................: 25/01/2005
Hora.................: 14:39:30
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.8139E-005	        -8.5075E-005	         1.2250E-004	         2.4497E-007	         1.7555E-007	         1.2300E-007	         1.3601E+002
 2	        -2.5738E-004	        -1.1885E-003	         1.2161E-003	         2.0407E-004	         9.3972E-004	         1.7889E-005	         2.1889E+002
 3	        -6.8283E-003	         2.1327E-003	         7.5453E-003	         6.4865E-003	         2.9681E-003	         1.0212E-003	         3.5422E+002
 4	         1.0035E-001	         3.8828E-002	         2.5780E-001	         1.2842E-001	         2.7311E-001	         1.0780E-001	         5.2883E+000
 5	        -1.4331E+001	         7.9095E+000	         3.1868E+001	         1.7356E+001	         3.0524E+001	         5.5150E+000	         3.5422E+002
 6	         5.3849E+002	        -3.6312E+002	         2.6148E+003	         1.0564E+003	         2.9748E+003	         1.2274E+003	         3.5433E+002
 7	        -3.8576E+004	         8.2542E+004	         2.1568E+005	         8.6552E+004	         2.3686E+005	         8.3252E+004	         3.5072E+002
 8	         2.0622E+007	         5.3532E+005	         2.8000E+007	         2.2375E+007	         2.2169E+007	         8.8667E+006	         1.8587E-001
 9	        -6.7383E+008	        -5.1531E+008	         3.2832E+009	         1.5823E+009	         3.9716E+009	         2.2143E+009	         4.1563E+000
10	         1.5168E+011	        -9.6634E+010	         3.7890E+011	         2.3265E+011	         3.8285E+011	         1.5901E+011	         3.5675E+002
