Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 9.2048E-005	        -4.2749E-005	  7.2099E-005	        -1.0751E-003	 -7.4797E-003	        -5.2111E-003	  1.5481E-001	         7.0886E-002	  1.0931E-007	 1.2412E-007	 5.1406E-008	
 9.2014E-005	        -4.3891E-005	  5.9694E-005	        -1.0843E-003	 -7.1189E-003	        -5.1805E-003	  1.3116E-001	         1.1325E-001	  1.8307E-007	 1.3549E-007	 1.7168E-007	
 9.2131E-005	        -4.4787E-005	  4.9024E-005	        -1.0912E-003	 -6.9450E-003	        -4.6647E-003	  1.4915E-001	        -3.2272E-002	  2.1903E-007	 2.2990E-007	 1.7937E-007	
 9.2130E-005	        -4.6048E-005	  3.5506E-005	        -1.0957E-003	 -6.8444E-003	        -3.6417E-003	  1.2585E-001	         4.6699E-002	  2.4525E-007	 2.0240E-007	 2.4286E-007	
 9.2223E-005	        -4.6919E-005	  3.2998E-005	        -1.1070E-003	 -7.2403E-003	        -4.2071E-003	  7.6610E-002	         6.3483E-002	  3.5931E-007	 2.1869E-007	 3.6157E-007	
 9.1971E-005	        -4.8525E-005	  1.5545E-005	        -1.0981E-003	 -6.6694E-003	        -4.6414E-003	  1.0531E-001	         1.2113E-001	  2.9022E-007	 1.0491E-007	 2.4124E-007	
 9.2082E-005	        -4.9291E-005	  1.5775E-005	        -1.1129E-003	 -7.8586E-003	        -3.8137E-003	  2.1792E-001	         3.5182E-002	  2.3580E-007	 1.8528E-007	 2.8346E-007	
 9.2124E-005	        -5.0618E-005	 -6.0904E-006	        -1.1240E-003	 -7.4095E-003	        -4.2555E-003	  1.1436E-001	         5.2482E-002	  1.7995E-007	 2.2834E-007	 2.0535E-007	
 9.2008E-005	        -5.1810E-005	 -2.0141E-005	        -1.1251E-003	 -8.6029E-003	        -4.3692E-003	  2.0017E-001	        -8.1255E-002	  3.3499E-007	 2.4713E-007	 3.5645E-007	
 9.2189E-005	        -5.2666E-005	 -1.5707E-005	        -1.1433E-003	 -7.1643E-003	        -2.5365E-003	  1.4876E-001	         1.3793E-003	  3.4454E-007	 2.1518E-007	 3.5208E-007	
 9.2038E-005	        -5.3973E-005	 -2.8682E-005	        -1.1393E-003	 -6.8630E-003	        -3.3308E-003	  1.5319E-001	         6.1787E-002	  3.0957E-007	 1.9898E-007	 3.1985E-007	
 9.1957E-005	        -5.4811E-005	 -2.6655E-005	        -1.1510E-003	 -7.3657E-003	        -3.4021E-003	  1.8754E-001	         5.2281E-002	  4.5826E-007	 2.3198E-007	 4.2835E-007	
 9.2033E-005	        -5.5865E-005	 -3.0030E-005	        -1.1503E-003	 -7.6394E-003	        -2.9067E-003	  1.3588E-001	         7.5820E-002	  2.6448E-007	 3.0144E-007	 2.8966E-007	
 9.2067E-005	        -5.7072E-005	 -5.9566E-005	        -1.1652E-003	 -6.6512E-003	        -2.5053E-003	  1.5965E-001	         4.9014E-002	  3.0846E-007	 1.4888E-007	 2.0015E-007	
 9.1791E-005	        -5.8382E-005	 -6.2711E-005	        -1.1669E-003	 -7.1153E-003	        -3.3002E-003	  1.9875E-001	         4.0629E-002	  1.3754E-007	 2.3827E-007	 8.1941E-008	
 9.1642E-005	        -5.9545E-005	 -8.0651E-005	        -1.1694E-003	 -7.1502E-003	        -2.7576E-003	  2.5844E-001	        -8.8268E-003	  2.5957E-007	 2.3234E-007	 1.4835E-007	
 9.1691E-005	        -6.0589E-005	 -8.1967E-005	        -1.1786E-003	 -6.3143E-003	        -2.3168E-003	  1.7683E-001	        -1.3359E-002	  3.3924E-007	 3.1744E-007	 3.0261E-007	
 9.1389E-005	        -6.1840E-005	 -9.9112E-005	        -1.1887E-003	 -5.7420E-003	        -2.0679E-003	  1.9030E-001	         2.0845E-001	  3.3033E-007	 3.4880E-007	 3.4321E-007	
 9.1492E-005	        -6.2868E-005	 -1.0214E-004	        -1.1818E-003	 -6.5731E-003	        -2.1340E-003	  1.7980E-001	         9.7637E-002	  2.1508E-007	 2.5692E-007	 2.0890E-007	
 9.1427E-005	        -6.4026E-005	 -1.1144E-004	        -1.1944E-003	 -7.0208E-003	        -3.3223E-004	  1.4366E-001	        -1.1338E-001	  2.2749E-007	 3.6532E-007	 2.4953E-007	
 9.1309E-005	        -6.5138E-005	 -1.1409E-004	        -1.1849E-003	 -6.7776E-003	        -1.6167E-003	  1.6782E-001	         1.4240E-002	  3.1653E-007	 3.6072E-007	 3.3256E-007	
 9.1417E-005	        -6.5988E-005	 -1.1037E-004	        -1.2092E-003	 -6.9624E-003	        -4.1946E-004	  7.9467E-002	        -2.5396E-002	  2.8265E-007	 5.2164E-007	 4.4573E-007	
 9.1081E-005	        -6.7450E-005	 -1.2656E-004	        -1.1989E-003	 -5.9724E-003	        -6.4621E-004	  9.5699E-002	        -8.0744E-002	  2.6838E-007	 5.4010E-007	 5.0407E-007	
 9.0900E-005	        -6.8448E-005	 -1.3320E-004	        -1.2044E-003	 -7.1599E-003	        -7.2658E-004	  1.9511E-001	        -2.8486E-002	  3.6722E-007	 5.1675E-007	 5.8515E-007	
 9.0772E-005	        -6.9858E-005	 -1.4637E-004	        -1.1964E-003	 -7.0375E-003	        -4.7664E-004	  7.0621E-002	        -7.4439E-003	  2.7961E-007	 4.7449E-007	 4.7819E-007	
 9.0722E-005	        -7.0895E-005	 -1.5403E-004	        -1.2072E-003	 -6.6275E-003	        -5.7224E-004	  1.9953E-001	         1.5255E-002	  3.0640E-007	 5.1701E-007	 5.3404E-007	
 9.0424E-005	        -7.2268E-005	 -1.6400E-004	        -1.1990E-003	 -6.7667E-003	        -6.5458E-004	  1.5559E-001	         7.0062E-003	  2.8679E-007	 5.3835E-007	 5.1611E-007	
 9.0317E-005	        -7.3426E-005	 -1.7614E-004	        -1.1993E-003	 -6.6080E-003	        -5.1037E-004	  1.4849E-001	         2.2495E-002	  1.4595E-007	 4.5831E-007	 3.6729E-007	
 9.0155E-005	        -7.4691E-005	 -1.9076E-004	        -1.1979E-003	 -6.6161E-003	         1.0882E-004	  1.7014E-001	         1.0944E-001	  1.9298E-007	 4.5817E-007	 3.8937E-007	
 9.0062E-005	        -7.5676E-005	 -1.9074E-004	        -1.2071E-003	 -6.6920E-003	         5.3107E-004	  1.2834E-001	        -8.7444E-002	  2.3000E-007	 2.5515E-007	 3.3693E-007	
 9.0042E-005	        -7.6644E-005	 -1.9917E-004	        -1.2082E-003	 -6.4379E-003	         1.4202E-003	  4.7495E-002	         1.0029E-003	  1.9017E-007	 2.6104E-007	 2.4559E-007	
 8.9826E-005	        -7.7907E-005	 -2.0799E-004	        -1.2074E-003	 -6.6521E-003	         6.8007E-004	  1.2942E-001	         2.2370E-003	  1.9642E-007	 3.9040E-007	 3.9037E-007	
 8.9561E-005	        -7.9120E-005	 -2.2052E-004	        -1.2108E-003	 -6.1270E-003	         1.0202E-003	  1.0499E-001	        -8.0115E-002	  1.7878E-007	 3.2612E-007	 3.4141E-007	
 8.9570E-005	        -8.0112E-005	 -2.2281E-004	        -1.2066E-003	 -6.4928E-003	         1.6248E-003	  1.4116E-001	        -3.3876E-003	  1.5367E-007	 5.5250E-007	 4.6558E-007	
 8.9083E-005	        -8.1500E-005	 -2.3901E-004	        -1.1997E-003	 -6.6717E-003	         1.5740E-003	  1.0673E-001	        -1.0671E-002	  1.4686E-007	 2.9089E-007	 2.9591E-007	
 8.8582E-005	        -8.2756E-005	 -2.4447E-004	        -1.1921E-003	 -6.4224E-003	         2.5725E-003	  1.5960E-001	         8.2731E-003	  1.6764E-007	 3.3293E-007	 3.3386E-007	
 8.8257E-005	        -8.4075E-005	 -2.5339E-004	        -1.1874E-003	 -6.1923E-003	         1.5182E-003	  1.8632E-001	        -2.2720E-003	  1.4626E-007	 2.5886E-007	 1.9885E-007	
 8.8139E-005	        -8.5075E-005	 -2.5738E-004	        -1.1885E-003	 -6.8283E-003	         2.1327E-003	  1.0035E-001	         3.8828E-002	  2.4497E-007	 1.7555E-007	 1.2300E-007	
 8.8061E-005	        -8.6112E-005	 -2.5877E-004	        -1.1837E-003	 -6.7629E-003	         2.2057E-003	  1.1949E-001	        -3.7329E-003	  1.2822E-007	 2.8571E-007	 2.2910E-007	
 8.7567E-005	        -8.7499E-005	 -2.8590E-004	        -1.1803E-003	 -6.8229E-003	         1.8778E-003	  1.3883E-001	        -4.6029E-002	  1.9362E-007	 1.3261E-007	 1.9491E-007	
 8.7403E-005	        -8.8544E-005	 -2.8029E-004	        -1.1873E-003	 -6.8587E-003	         2.1548E-003	  1.8625E-001	        -2.8918E-002	  1.5351E-007	 3.0545E-007	 2.7851E-007	
