Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=-14_#007.dat
Data.................: 25/01/2005
Hora.................: 13:45:43
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.2082E-005	        -4.9291E-005	         1.0445E-004	         2.3580E-007	         1.8528E-007	         2.8346E-007	         1.5184E+002
 2	         1.5775E-005	        -1.1129E-003	         1.1131E-003	         2.0469E-005	         8.7994E-004	         1.3909E-005	         3.1541E+002
 3	        -7.8586E-003	        -3.8137E-003	         8.8294E-003	         7.2761E-003	         3.7933E-003	         1.2939E-003	         8.6290E+000
 4	         2.1792E-001	         3.5182E-002	         3.1504E-001	         2.6119E-001	         2.2900E-001	         1.0876E-001	         2.2927E+000
 5	        -1.4653E+001	        -4.6016E+000	         2.1020E+001	         1.7884E+001	         1.6881E+001	         1.0559E+001	         3.4868E+000
 6	        -5.9544E+001	         1.0463E+003	         2.2201E+003	         1.4009E+003	         2.1169E+003	         7.1542E+002	         1.6554E+002
 7	         3.6765E+004	        -1.9071E+005	         3.0414E+005	         1.0776E+005	         3.1953E+005	         6.9449E+004	         1.6870E+002
 8	         1.3692E+007	         5.9211E+006	         4.3742E+007	         2.5275E+007	         4.6598E+007	         2.1289E+007	         2.9232E+000
 9	        -6.8984E+008	         2.9098E+008	         4.2300E+009	         3.0325E+009	         4.5222E+009	         2.7125E+009	         3.5746E+002
10	         1.7287E+011	         1.7766E+011	         4.3325E+011	         2.4341E+011	         4.6234E+011	         2.1461E+011	         4.5783E+000
