Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=14_#035.dat
Data.................: 25/01/2005
Hora.................: 14:34:34
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.9083E-005	        -8.1500E-005	         1.2074E-004	         1.4686E-007	         2.9089E-007	         2.9591E-007	         1.3755E+002
 2	        -2.3901E-004	        -1.1997E-003	         1.2233E-003	         1.8916E-004	         9.4891E-004	         2.7897E-005	         2.1937E+002
 3	        -6.6717E-003	         1.5740E-003	         7.4245E-003	         6.1033E-003	         3.5184E-003	         5.5156E-004	         3.5558E+002
 4	         1.0673E-001	        -1.0671E-002	         2.9220E-001	         1.1704E-001	         3.3618E-001	         1.5358E-001	         3.5857E+002
 5	        -1.4641E+001	         2.7837E+000	         3.1568E+001	         1.8064E+001	         3.7939E+001	         2.3991E+001	         3.5785E+002
 6	         8.1401E+002	        -8.7912E+002	         3.4110E+003	         1.2677E+003	         4.4167E+003	         2.6209E+003	         3.5213E+002
 7	        -1.6642E+005	         1.8287E+005	         6.0590E+005	         3.2825E+005	         6.2191E+005	         2.1575E+005	         3.5319E+002
 8	         5.6737E+006	        -5.2680E+006	         5.2015E+007	         2.0996E+007	         6.3671E+007	         3.3500E+007	         3.5464E+002
 9	         7.6135E+007	        -1.1542E+008	         6.4816E+009	         2.5988E+009	         7.2413E+009	         2.5844E+009	         1.7371E+002
10	         2.9760E+011	        -1.5229E+011	         8.2046E+011	         6.0326E+011	         7.5701E+011	         3.3090E+011	         3.5729E+002
