Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=8_#029.dat
Data.................: 25/01/2005
Hora.................: 14:24:57
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.0155E-005	        -7.4691E-005	         1.1708E-004	         1.9298E-007	         4.5817E-007	         3.8937E-007	         1.4036E+002
 2	        -1.9076E-004	        -1.1979E-003	         1.2131E-003	         1.5145E-004	         9.4768E-004	         3.4617E-005	         2.2048E+002
 3	        -6.6161E-003	         1.0882E-004	         7.6464E-003	         6.1654E-003	         4.4904E-003	         1.8265E-003	         3.5969E+002
 4	         1.7014E-001	         1.0944E-001	         4.5617E-001	         1.8934E-001	         5.3731E-001	         2.7790E-001	         8.1878E+000
 5	        -2.0045E+001	        -6.5093E+000	         4.7780E+001	         2.7780E+001	         5.2800E+001	         2.8583E+001	         3.5980E+000
 6	         5.1975E+002	         1.2635E+003	         5.4511E+003	         2.3093E+003	         6.1689E+003	         2.5757E+003	         1.1273E+001
 7	        -7.6869E+004	         1.9418E+004	         5.2043E+005	         2.8182E+005	         6.5867E+005	         4.1933E+005	         3.5797E+002
 8	         6.0660E+006	         8.3508E+006	         6.7530E+007	         3.3471E+007	         8.1356E+007	         4.5336E+007	         6.7507E+000
 9	        -1.6731E+009	        -1.7085E+007	         7.8771E+009	         4.9406E+009	         8.8198E+009	         5.0026E+009	         6.5006E-002
10	         9.1731E+010	        -4.1524E+010	         8.5266E+011	         4.7186E+011	         1.0090E+012	         5.7720E+011	         3.5756E+002
