Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=12_#033.dat
Data.................: 25/01/2005
Hora.................: 14:31:08
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.9561E-005	        -7.9120E-005	         1.1950E-004	         1.7878E-007	         3.2612E-007	         3.4141E-007	         1.3854E+002
 2	        -2.2052E-004	        -1.2108E-003	         1.2307E-003	         1.7476E-004	         9.5744E-004	         2.0420E-005	         2.1984E+002
 3	        -6.1270E-003	         1.0202E-003	         6.8123E-003	         5.7086E-003	         3.5782E-003	         1.8593E-003	         3.5685E+002
 4	         1.0499E-001	        -8.0115E-002	         2.7507E-001	         1.0873E-001	         3.3620E-001	         1.8901E-001	         3.5066E+002
 5	        -1.2059E+001	         7.1842E+000	         3.1556E+001	         1.9318E+001	         3.8885E+001	         2.6262E+001	         3.5384E+002
 6	         1.0174E+003	         2.1735E+002	         2.7572E+003	         1.2924E+003	         3.1032E+003	         1.4224E+003	         2.0097E+000
 7	        -1.2698E+005	         1.1424E+005	         3.6437E+005	         1.9701E+005	         4.6957E+005	         3.1395E+005	         3.5400E+002
 8	         1.3843E+007	        -1.8971E+007	         4.1300E+007	         2.4270E+007	         5.9920E+007	         4.6190E+007	         3.5326E+002
 9	        -1.6825E+008	        -4.3489E+008	         4.8861E+009	         3.3197E+009	         5.1466E+009	         2.7741E+009	         7.6500E+000
10	         2.9869E+010	        -1.9087E+011	         6.0919E+011	         3.3358E+011	         6.6512E+011	         3.0729E+011	         3.5189E+002
