Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=-13_#008.dat
Data.................: 25/01/2005
Hora.................: 13:47:16
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.2124E-005	        -5.0618E-005	         1.0511E-004	         1.7995E-007	         2.2834E-007	         2.0535E-007	         1.5121E+002
 2	        -6.0904E-006	        -1.1240E-003	         1.1241E-003	         1.7534E-005	         8.8899E-004	         2.5828E-005	         2.2484E+002
 3	        -7.4095E-003	        -4.2555E-003	         8.8163E-003	         6.8800E-003	         4.5625E-003	         1.1886E-003	         9.9568E+000
 4	         1.1436E-001	         5.2482E-002	         2.2086E-001	         1.2735E-001	         2.1676E-001	         8.4713E-002	         6.1630E+000
 5	        -1.0802E+001	        -1.0853E+001	         2.7867E+001	         1.8339E+001	         2.6927E+001	         1.2217E+001	         9.0274E+000
 6	         1.9177E+003	         1.4037E+003	         3.4981E+003	         2.2477E+003	         3.2685E+003	         1.2715E+003	         6.0340E+000
 7	        -1.5452E+005	        -8.0797E+004	         3.7997E+005	         2.7128E+005	         4.3468E+005	         2.9581E+005	         3.9436E+000
 8	         9.9028E+006	        -8.7571E+006	         4.0012E+007	         1.7830E+007	         4.5019E+007	         1.9254E+007	         3.5481E+002
 9	        -5.7105E+008	        -2.3100E+008	         5.4395E+009	         3.4566E+009	         5.4721E+009	         2.2269E+009	         2.4471E+000
10	         2.6651E+011	         8.7549E+010	         5.8052E+011	         4.4433E+011	         4.7177E+011	         9.2667E+010	         1.8185E+000
