Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=-5_#016.dat
Data.................: 25/01/2005
Hora.................: 14:03:25
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.1642E-005	        -5.9545E-005	         1.0929E-004	         2.5957E-007	         2.3234E-007	         1.4835E-007	         1.4699E+002
 2	        -8.0651E-005	        -1.1694E-003	         1.1722E-003	         6.5803E-005	         9.2492E-004	         2.9776E-005	         2.2303E+002
 3	        -7.1502E-003	        -2.7576E-003	         8.0469E-003	         6.6446E-003	         4.1981E-003	         2.3035E-003	         7.0299E+000
 4	         2.5844E-001	        -8.8268E-003	         4.5323E-001	         2.7173E-001	         4.1352E-001	         9.4647E-002	         3.5951E+002
 5	        -1.6142E+001	         8.1713E-001	         4.0457E+001	         1.7360E+001	         4.9868E+001	         2.8418E+001	         3.5942E+002
 6	         1.1657E+003	         8.1097E+001	         4.1548E+003	         1.9906E+003	         5.0112E+003	         2.7895E+003	         6.6327E-001
 7	        -1.8702E+005	        -4.6530E+004	         4.6200E+005	         2.3661E+005	         5.3457E+005	         2.8561E+005	         1.9959E+000
 8	         1.1947E+007	        -7.5928E+006	         5.6367E+007	         2.7453E+007	         6.3438E+007	         2.8946E+007	         3.5595E+002
 9	        -1.7233E+009	        -5.3877E+008	         6.5100E+009	         2.9087E+009	         7.2787E+009	         2.9862E+009	         1.9290E+000
10	         1.6778E+011	        -3.5964E+010	         6.0338E+011	         2.9301E+011	         6.9635E+011	         3.4547E+011	         3.5879E+002
