Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=16_#037.dat
Data.................: 25/01/2005
Hora.................: 14:37:50
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.8257E-005	        -8.4075E-005	         1.2189E-004	         1.4626E-007	         2.5886E-007	         1.9885E-007	         1.3639E+002
 2	        -2.5339E-004	        -1.1874E-003	         1.2141E-003	         2.0061E-004	         9.3882E-004	         1.4858E-005	         2.1898E+002
 3	        -6.1923E-003	         1.5182E-003	         6.5842E-003	         5.8003E-003	         2.3459E-003	         1.3763E-003	         3.5541E+002
 4	         1.8632E-001	        -2.2720E-003	         2.8203E-001	         2.1642E-001	         2.4065E-001	         1.2716E-001	         3.5983E+002
 5	        -1.7223E+001	        -1.5924E+000	         2.3947E+001	         1.9470E+001	         1.8711E+001	         9.3352E+000	         1.0565E+000
 6	         1.3704E+003	        -5.1121E+002	         2.8731E+003	         1.9341E+003	         2.8332E+003	         1.3765E+003	         3.5659E+002
 7	        -1.0930E+005	         1.2267E+004	         3.2051E+005	         2.1689E+005	         3.4635E+005	         2.0185E+005	         3.5909E+002
 8	         1.3378E+007	        -3.1652E+006	         3.4874E+007	         2.3829E+007	         3.8700E+007	         2.3974E+007	         3.5834E+002
 9	         1.7590E+008	        -2.5845E+007	         3.4610E+009	         1.9112E+009	         3.8219E+009	         1.8141E+009	         1.7907E+002
10	         7.9835E+010	        -1.0218E+011	         3.9365E+011	         2.9987E+011	         4.0266E+011	         2.4587E+011	         3.5480E+002
