Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 2.9093E-005	        -2.4646E-004	  2.8061E-002	         5.2499E-002	 -1.9361E+000	        -4.6788E+000	 -1.9705E+002	         5.0586E-002	  3.5974E-007	 7.3728E-008	 1.0259E-007	
 5.6477E-005	        -1.9802E-004	  2.3619E-002	         4.3483E-002	 -2.3831E+000	        -4.5515E+000	 -1.0693E+002	         8.9014E+001	  4.0072E-007	 6.3355E-007	 6.4474E-007	
 7.7948E-005	        -1.5849E-004	  1.8652E-002	         3.4845E-002	 -2.5651E+000	        -4.1857E+000	 -1.4789E+001	         1.6461E+002	  8.4828E-007	 4.1482E-007	 6.0310E-007	
 9.5153E-005	        -1.2780E-004	  1.3356E-002	         2.7658E-002	 -2.4557E+000	        -3.6576E+000	  6.4754E+001	         2.2158E+002	  7.1432E-007	 5.0467E-007	 8.1484E-007	
 1.0531E-004	        -1.0275E-004	  8.8609E-003	         2.0954E-002	 -2.1782E+000	        -2.9238E+000	  1.2535E+002	         2.4900E+002	  8.9110E-007	 4.2804E-007	 4.6027E-007	
 1.1213E-004	        -8.3718E-005	  4.9374E-003	         1.5691E-002	 -1.7528E+000	        -2.1607E+000	  1.5904E+002	         2.4845E+002	  8.9011E-007	 9.1349E-007	 1.2362E-006	
 1.1555E-004	        -6.9041E-005	  1.9826E-003	         1.2123E-002	 -1.2624E+000	        -1.4488E+000	  1.6412E+002	         2.2259E+002	  6.3147E-007	 7.1404E-007	 8.1287E-007	
 1.1752E-004	        -5.7942E-005	 -1.8096E-004	         1.0129E-002	 -7.9350E-001	        -8.6677E-001	  1.4708E+002	         1.7873E+002	  2.1506E-007	 7.3978E-007	 2.6446E-007	
 1.1512E-004	        -4.7075E-005	 -1.1748E-003	         8.5429E-003	 -3.9940E-001	        -3.7454E-001	  1.1751E+002	         1.2098E+002	  7.6708E-007	 4.5662E-007	 7.8002E-007	
 1.1511E-004	        -3.7980E-005	 -1.8452E-003	         8.3927E-003	 -1.0402E-001	        -1.3930E-001	  7.9934E+001	         6.7368E+001	  8.1144E-007	 4.4896E-007	 8.2383E-007	
 1.1296E-004	        -2.8874E-005	 -1.8447E-003	         8.1775E-003	  7.4064E-002	        -1.1566E-002	  4.3763E+001	         1.8410E+001	  6.4939E-007	 4.4883E-007	 6.7772E-007	
 1.1098E-004	        -1.9524E-005	 -1.5458E-003	         8.1975E-003	  1.6407E-001	        -1.3393E-002	  1.4376E+001	        -1.7250E+001	  9.3939E-007	 7.0669E-007	 8.8147E-007	
 1.0947E-004	        -1.1086E-005	 -1.2646E-003	         8.1578E-003	  1.7010E-001	        -1.0325E-001	 -7.3533E+000	        -3.8617E+001	  5.9765E-007	 3.5176E-007	 5.7515E-007	
 1.0879E-004	        -2.4629E-006	 -1.0275E-003	         7.9175E-003	  1.2681E-001	        -2.4494E-001	 -2.0299E+001	        -4.7465E+001	  4.5398E-007	 4.4579E-007	 4.5678E-007	
 1.0762E-004	         6.0132E-006	 -7.5382E-004	         7.3120E-003	  5.8526E-002	        -3.7257E-001	 -2.5899E+001	        -4.7011E+001	  4.1911E-007	 7.8474E-007	 3.8136E-007	
 1.0698E-004	         1.3660E-005	 -8.8827E-004	         6.4565E-003	 -2.4488E-002	        -5.3076E-001	 -2.6033E+001	        -4.0995E+001	  4.9634E-007	 7.8695E-007	 4.4289E-007	
 1.0577E-004	         2.0339E-005	 -8.8389E-004	         5.2943E-003	 -8.7032E-002	        -6.3367E-001	 -2.1458E+001	        -3.2650E+001	  5.5013E-007	 5.4404E-007	 6.1631E-007	
 1.0486E-004	         2.5731E-005	 -1.3053E-003	         3.8695E-003	 -1.4371E-001	        -7.3182E-001	 -1.4359E+001	        -2.2375E+001	  3.6904E-007	 6.1707E-007	 3.8152E-007	
 1.0267E-004	         2.9376E-005	 -1.5551E-003	         2.4104E-003	 -1.7765E-001	        -7.7233E-001	 -6.5808E+000	        -1.1883E+001	  7.5116E-007	 9.6357E-007	 8.0713E-007	
 1.0131E-004	         3.1436E-005	 -1.8547E-003	         9.6160E-004	 -1.8738E-001	        -7.8012E-001	  1.2370E+000	        -1.8868E+000	  7.3177E-007	 5.9722E-007	 5.8004E-007	
 9.9103E-005	         3.2916E-005	 -2.3953E-003	        -7.5206E-004	 -1.6964E-001	        -8.0953E-001	  8.6007E+000	         9.9490E+000	  4.9959E-007	 5.5699E-007	 5.0339E-007	
 9.6711E-005	         3.2420E-005	 -2.6533E-003	        -2.1847E-003	 -1.3633E-001	        -7.5614E-001	  1.2756E+001	         2.0565E+001	  8.0476E-007	 4.4530E-007	 8.2188E-007	
 9.3242E-005	         3.0159E-005	 -2.8806E-003	        -3.5436E-003	 -9.3997E-002	        -6.8058E-001	  1.4174E+001	         2.9199E+001	  6.6836E-007	 2.1979E-007	 6.5301E-007	
 9.0063E-005	         2.6821E-005	 -3.1247E-003	        -4.8916E-003	 -5.9942E-002	        -5.9481E-001	  1.0651E+001	         3.3561E+001	  6.2798E-007	 5.6537E-007	 5.8747E-007	
 8.6637E-005	         2.1825E-005	 -3.2030E-003	        -5.9317E-003	 -3.8118E-002	        -4.9990E-001	  1.8685E+000	         3.2312E+001	  5.4932E-007	 8.2865E-007	 4.4504E-007	
 8.3592E-005	         1.6751E-005	 -3.2147E-003	        -6.7710E-003	 -5.3994E-002	        -4.0297E-001	 -1.1831E+001	         2.3311E+001	  7.6406E-007	 6.2021E-007	 7.7483E-007	
 7.9186E-005	         1.0799E-005	 -3.3740E-003	        -7.3277E-003	 -1.1476E-001	        -3.5963E-001	 -3.0563E+001	         5.6792E+000	  7.4478E-007	 4.7679E-007	 6.9023E-007	
 7.6060E-005	         3.2300E-006	 -3.8045E-003	        -8.0838E-003	 -2.4513E-001	        -3.8494E-001	 -5.1066E+001	        -1.9373E+001	  7.9559E-007	 6.0176E-007	 8.0454E-007	
 7.2706E-005	        -4.6972E-006	 -4.3484E-003	        -8.8535E-003	 -4.2391E-001	        -4.7855E-001	 -6.8491E+001	        -4.7499E+001	  9.9198E-007	 6.6275E-007	 1.0037E-006	
