Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=-17_#004.dat
Data.................: 10/02/2005
Hora.................: 09:10:34
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.0876E-005	        -1.5924E-004	         1.7860E-004	         6.7188E-007	         6.3784E-007	         6.5825E-007	         1.1693E+002
 2	        -4.0776E-004	         1.9698E-002	         1.9702E-002	         3.2812E-004	         1.5573E-002	         4.6539E-005	         1.3559E+002
 3	         1.4620E-001	        -4.9530E-001	         5.1644E-001	         1.3351E-001	         4.5215E-001	         3.1296E-003	         1.5548E+002
 4	        -1.2569E+001	        -1.0476E+001	         1.6366E+001	         1.2186E+001	         1.0150E+001	         5.8343E-001	         1.8995E+002
 5	         3.9144E+002	         6.3379E+002	         7.4520E+002	         3.9353E+002	         6.3778E+002	         7.8804E+001	         1.9166E+002
 6	         4.6183E+003	        -2.2124E+004	         2.3268E+004	         6.7977E+003	         2.3733E+004	         6.2550E+003	         3.4697E+002
 7	        -8.1979E+005	        -6.3366E+005	         1.3482E+006	         1.2515E+006	         9.7723E+005	         6.6388E+005	         5.3861E+000
 8	         5.9374E+007	         7.4447E+007	         1.2123E+008	         7.5865E+007	         1.1283E+008	         3.9143E+007	         6.4283E+000
 9	         1.6337E+009	         1.9900E+009	         5.7246E+009	         6.6181E+009	         3.2096E+009	         3.7494E+009	         1.8562E+002
10	         3.6868E+010	        -3.5218E+011	         1.1401E+012	         9.6323E+011	         9.8945E+011	         5.4557E+011	         3.5160E+002
