Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=-8_#013.dat
Data.................: 10/02/2005
Hora.................: 09:25:54
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.2873E-005	        -2.4662E-005	         8.6465E-005	         5.4065E-007	         4.2337E-007	         5.6855E-007	         1.6343E+002
 2	         2.6394E-004	         9.6279E-003	         9.6316E-003	         2.1165E-004	         7.6117E-003	         4.7719E-005	         4.4215E+001
 3	        -1.4949E-002	        -6.1104E-001	         6.1123E-001	         1.3965E-002	         5.5781E-001	         3.7281E-003	         2.9533E+001
 4	        -1.3087E+000	        -1.5568E+000	         2.0536E+000	         1.2833E+000	         1.5315E+000	         1.1633E-001	         1.9249E+002
 5	         1.8185E+002	         8.2158E+001	         2.0405E+002	         1.8310E+002	         9.3948E+001	         1.6195E+001	         1.8486E+002
 6	         6.0059E+002	         9.0432E+003	         1.0258E+004	         4.6390E+003	         1.0227E+004	         3.4205E+003	         1.4367E+001
 7	         2.6829E+005	         5.6563E+005	         9.6384E+005	         6.3440E+005	         9.6458E+005	         4.9157E+005	         1.8923E+002
 8	         4.0529E+007	         6.7224E+006	         8.1432E+007	         7.9438E+007	         4.6086E+007	         2.0225E+007	         1.1772E+000
 9	        -2.8931E+009	         1.5697E+009	         9.2660E+009	         5.1849E+009	         9.4934E+009	         3.3447E+009	         3.5684E+002
10	         2.7403E+011	        -6.0382E+011	         1.1378E+012	         1.1228E+012	         9.4030E+011	         7.6271E+011	         3.5344E+002
