Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=-18_#003.dat
Data.................: 10/02/2005
Hora.................: 09:08:44
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.1132E-005	        -1.7966E-004	         1.9713E-004	         8.8612E-007	         8.9106E-007	         5.3923E-007	         1.1430E+002
 2	        -7.0599E-004	         2.0667E-002	         2.0680E-002	         5.6526E-004	         1.6339E-002	         2.4816E-005	         1.3598E+002
 3	         1.8156E-001	        -4.6116E-001	         4.9562E-001	         1.6578E-001	         4.2102E-001	         6.4392E-003	         1.5716E+002
 4	        -1.4253E+001	        -1.2833E+001	         1.9181E+001	         1.3802E+001	         1.2431E+001	         2.9819E-001	         1.9050E+002
 5	         3.7869E+002	         7.1914E+002	         8.1359E+002	         3.8013E+002	         7.2284E+002	         6.8801E+001	         1.9245E+002
 6	         1.0715E+004	        -1.2928E+004	         1.7159E+004	         1.1725E+004	         1.4192E+004	         5.4392E+003	         3.5161E+002
 7	        -1.7352E+006	        -7.7938E+005	         1.9938E+006	         1.8974E+006	         9.7005E+005	         4.6727E+005	         3.4554E+000
 8	         5.2023E+007	         3.4179E+007	         1.1316E+008	         1.2337E+008	         6.6525E+007	         6.5135E+007	         4.1631E+000
 9	         1.3226E+009	         1.2927E+009	         1.1526E+010	         5.3737E+009	         1.5228E+010	         9.7558E+009	         1.8493E+002
10	         1.1687E+012	        -5.2654E+011	         1.8955E+012	         1.2544E+012	         1.6729E+012	         2.9417E+011	         3.5757E+002
