Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=10_#031.dat
Data.................: 10/02/2005
Hora.................: 10:03:04
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.4111E-005	        -2.6830E-005	         9.7862E-005	         3.8445E-007	         4.1423E-007	         3.0008E-007	         1.6409E+002
 2	         3.1219E-003	        -6.6923E-003	         7.3848E-003	         2.4683E-003	         5.2908E-003	         2.2754E-005	         3.2750E+002
 3	         3.2375E-001	         2.5587E-002	         3.2479E-001	         2.9556E-001	         2.3898E-002	         2.7073E-003	         1.8151E+002
 4	         1.5865E+001	         3.4486E+001	         3.7961E+001	         1.5363E+001	         3.3393E+001	         2.9064E-001	         1.6324E+001
 5	         2.9272E+002	         7.0642E+002	         7.6486E+002	         2.9349E+002	         7.0650E+002	         1.4012E+001	         1.9350E+002
 6	        -3.8945E+003	        -1.0063E+004	         1.0859E+004	         4.5991E+003	         1.0747E+004	         3.6740E+003	         1.9147E+002
 7	        -1.1081E+006	        -7.4012E+005	         1.4979E+006	         1.1883E+006	         1.1001E+006	         3.6728E+005	         4.8198E+000
 8	         1.5051E+006	        -2.7114E+007	         6.1180E+007	         4.1501E+007	         6.3969E+007	         3.5366E+007	         3.4915E+002
 9	        -1.6652E+009	         9.5915E+008	         6.4521E+009	         5.2712E+009	         5.4785E+009	         2.5050E+009	         3.5667E+002
10	         4.3364E+011	        -9.1347E+011	         1.2905E+012	         8.2296E+011	         1.3021E+012	         6.4705E+011	         3.5354E+002
