Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=17_#038.dat
Data.................: 10/02/2005
Hora.................: 10:18:27
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.3580E-004	        -5.8506E-005	         1.4787E-004	         4.4844E-007	         8.5654E-008	         3.8549E-007	         1.5669E+002
 2	         1.0087E-002	        -5.6780E-004	         1.0103E-002	         7.9745E-003	         4.4978E-004	         2.8767E-005	         3.5839E+002
 3	         6.7486E-001	         8.7160E-001	         1.1023E+000	         6.1606E-001	         7.9566E-001	         2.4557E-003	         1.9742E+002
 4	         1.4875E+001	         3.9532E+001	         4.2239E+001	         1.4406E+001	         3.8278E+001	         3.4119E-001	         1.7345E+001
 5	        -6.1752E+002	        -6.7089E+002	         9.1234E+002	         6.1767E+002	         6.7243E+002	         3.2908E+001	         9.4743E+000
 6	        -4.3165E+004	        -6.5203E+004	         7.8319E+004	         4.4196E+004	         6.6783E+004	         4.4513E+003	         1.8942E+002
 7	        -1.0066E+006	        -8.0441E+005	         1.3452E+006	         1.1900E+006	         8.9050E+005	         4.9336E+005	         5.5186E+000
 8	         1.0413E+008	         6.4238E+007	         1.3270E+008	         1.1503E+008	         9.7383E+007	         5.5174E+007	         3.9588E+000
 9	        -4.8152E+008	         2.4766E+009	         7.6453E+009	         4.9522E+009	         9.6215E+009	         6.7020E+009	         3.5122E+002
10	         2.2310E+011	         4.0567E+011	         1.0376E+012	         7.5910E+011	         9.7526E+011	         4.5642E+011	         6.1191E+000
