Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=-16_#005.dat
Data.................: 10/02/2005
Hora.................: 09:12:26
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.0706E-005	        -1.4013E-004	         1.6171E-004	         6.0420E-007	         2.6472E-007	         4.2588E-007	         1.1994E+002
 2	        -2.1384E-004	         1.8758E-002	         1.8759E-002	         1.8116E-004	         1.4829E-002	         4.6017E-005	         1.3533E+002
 3	         1.1163E-001	        -5.2582E-001	         5.3755E-001	         1.0193E-001	         4.8002E-001	         3.0907E-003	         1.5400E+002
 4	        -1.0775E+001	        -7.8180E+000	         1.3314E+001	         1.0435E+001	         7.5762E+000	         3.0344E-001	         1.8899E+002
 5	         4.3969E+002	         5.2873E+002	         6.9044E+002	         4.4215E+002	         5.3248E+002	         3.6891E+001	         1.9005E+002
 6	         1.8069E+001	        -2.1249E+004	         2.1601E+004	         4.0307E+003	         2.2438E+004	         5.5233E+003	         3.4501E+002
 7	        -9.8182E+005	         5.1499E+005	         1.2852E+006	         1.1365E+006	         9.4691E+005	         5.8566E+005	         3.5605E+002
 8	         6.3706E+007	         2.6785E+007	         9.1145E+007	         9.4044E+007	         6.3440E+007	         5.6839E+007	         2.8506E+000
 9	        -3.6907E+009	         1.4258E+009	         1.1064E+010	         8.7388E+009	         1.0892E+010	         6.6467E+009	         3.5765E+002
10	         3.7491E+011	         5.9006E+011	         1.2462E+012	         1.1589E+012	         9.3840E+011	         5.8602E+011	         5.7569E+000
