Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=18_#039.dat
Data.................: 10/02/2005
Hora.................: 10:19:59
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.4679E-004	        -5.8331E-005	         1.5796E-004	         3.5386E-007	         3.6402E-007	         3.7440E-007	         1.5833E+002
 2	         1.1457E-002	         1.2617E-003	         1.1526E-002	         9.0575E-003	         9.9872E-004	         2.8819E-005	         3.1422E+000
 3	         7.1470E-001	         9.8437E-001	         1.2165E+000	         6.5244E-001	         8.9861E-001	         2.7514E-003	         1.9801E+002
 4	         1.2084E+001	         3.6293E+001	         3.8252E+001	         1.1702E+001	         3.5142E+001	         3.1917E-001	         1.7896E+001
 5	        -8.0174E+002	        -9.8630E+002	         1.2716E+003	         8.0188E+002	         9.8923E+002	         6.4308E+001	         1.0179E+001
 6	        -4.2351E+004	        -6.7844E+004	         8.0163E+004	         4.3391E+004	         6.9476E+004	         3.1232E+003	         1.8967E+002
 7	        -2.6833E+005	        -2.8683E+003	         7.5426E+005	         6.3221E+005	         6.9862E+005	         4.3529E+005	         8.7492E-002
 8	         8.1855E+007	         5.3350E+007	         1.1713E+008	         1.0826E+008	         8.0891E+007	         5.1047E+007	         4.1368E+000
 9	         3.2615E+009	         2.4137E+009	         1.1884E+010	         7.1813E+009	         1.1439E+010	         2.8612E+009	         1.8406E+002
10	         1.2635E+012	         1.8575E+010	         1.5914E+012	         1.5229E+012	         1.1352E+012	         8.0120E+011	         8.4225E-002
