Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 8.2641E-005	        -2.2188E-004	 -1.5343E-003	         2.2109E-002	  2.7775E-001	        -3.6562E-001	 -1.6836E+001	        -1.8914E+001	  4.0772E-007	 2.6821E-007	 3.6250E-007	
 8.1807E-005	        -2.0059E-004	 -1.1046E-003	         2.1473E-002	  2.2855E-001	        -4.2025E-001	 -1.5398E+001	        -1.5895E+001	  5.7163E-007	 2.9060E-007	 3.0617E-007	
 8.1132E-005	        -1.7966E-004	 -7.0599E-004	         2.0667E-002	  1.8156E-001	        -4.6116E-001	 -1.4253E+001	        -1.2833E+001	  8.8612E-007	 8.9106E-007	 5.3923E-007	
 8.0876E-005	        -1.5924E-004	 -4.0776E-004	         1.9698E-002	  1.4620E-001	        -4.9530E-001	 -1.2569E+001	        -1.0476E+001	  6.7188E-007	 6.3784E-007	 6.5825E-007	
 8.0706E-005	        -1.4013E-004	 -2.1384E-004	         1.8758E-002	  1.1163E-001	        -5.2582E-001	 -1.0775E+001	        -7.8180E+000	  6.0420E-007	 2.6472E-007	 4.2588E-007	
 8.0677E-005	        -1.2110E-004	  3.6875E-005	         1.7573E-002	  8.2181E-002	        -5.3748E-001	 -9.2437E+000	        -6.1966E+000	  5.7324E-007	 3.8311E-007	 5.4259E-007	
 8.0871E-005	        -1.0436E-004	  9.8920E-005	         1.6630E-002	  5.8474E-002	        -5.6637E-001	 -7.6201E+000	        -4.7057E+000	  5.5315E-007	 5.9547E-007	 3.1692E-007	
 8.1572E-005	        -8.8251E-005	  1.8459E-004	         1.5482E-002	  3.8512E-002	        -5.7801E-001	 -6.2848E+000	        -3.5909E+000	  4.9401E-007	 1.7855E-007	 4.5368E-007	
 8.1500E-005	        -7.2905E-005	  2.8186E-004	         1.4324E-002	  2.0166E-002	        -5.8330E-001	 -4.9114E+000	        -3.0832E+000	  1.7121E-007	 4.0013E-007	 2.8657E-007	
 8.1756E-005	        -5.8924E-005	  3.1585E-004	         1.3170E-002	  7.4555E-003	        -5.8959E-001	 -3.7605E+000	        -2.6586E+000	  2.3325E-007	 3.7105E-007	 1.7287E-007	
 8.2403E-005	        -4.6638E-005	  2.5735E-004	         1.2065E-002	 -6.4089E-004	        -6.0280E-001	 -2.9054E+000	        -2.0521E+000	  2.8648E-007	 3.4798E-007	 2.1469E-007	
 8.2942E-005	        -3.4771E-005	  2.0924E-004	         1.0887E-002	 -4.0851E-003	        -6.0804E-001	 -2.0578E+000	        -2.0416E+000	  4.6931E-007	 2.4572E-007	 4.1125E-007	
