Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=-10_#011.dat
Data.................: 10/02/2005
Hora.................: 09:22:28
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.2403E-005	        -4.6638E-005	         9.4687E-005	         2.8648E-007	         3.4798E-007	         2.1469E-007	         1.5049E+002
 2	         2.5735E-004	         1.2065E-002	         1.2068E-002	         2.0774E-004	         9.5383E-003	         2.5556E-005	         4.4389E+001
 3	        -6.4089E-004	        -6.0280E-001	         6.0281E-001	         3.6866E-003	         5.5028E-001	         2.3805E-003	         2.9980E+001
 4	        -2.9054E+000	        -2.0521E+000	         3.5645E+000	         2.8205E+000	         2.0074E+000	         2.3903E-001	         1.8881E+002
 5	         2.2058E+002	         6.2879E+001	         2.3023E+002	         2.2668E+002	         6.5833E+001	         5.1141E+001	         1.8318E+002
 6	        -2.7959E+003	        -3.5074E+003	         5.6188E+003	         4.1237E+003	         4.9057E+003	         2.4079E+003	         1.8857E+002
 7	         1.6500E+005	         7.9278E+005	         8.7600E+005	         4.5463E+005	         8.3366E+005	         2.4404E+005	         1.9118E+002
 8	         3.3012E+007	        -2.5209E+007	         5.3195E+007	         5.0498E+007	         3.5723E+007	         2.3635E+007	         3.5533E+002
 9	         7.0869E+008	        -3.1515E+009	         6.8777E+009	         6.9411E+009	         4.4944E+009	         3.2709E+009	         1.7141E+002
10	         5.8711E+011	         3.9366E+011	         1.1459E+012	         9.9427E+011	         9.5019E+011	         5.5896E+011	         3.3842E+000
