Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=-5_#016.dat
Data.................: 10/02/2005
Hora.................: 09:31:13
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.3146E-005	        -7.9973E-007	         8.3150E-005	         2.5185E-007	         1.8837E-007	         2.5359E-007	         1.7945E+002
 2	         1.1477E-004	         6.0091E-003	         6.0102E-003	         9.3917E-005	         4.7508E-003	         4.5201E-005	         4.4453E+001
 3	        -1.4276E-002	        -6.2549E-001	         6.2566E-001	         1.3203E-002	         5.7100E-001	         2.9707E-003	         2.9564E+001
 4	         1.1341E+000	         1.2428E-001	         1.2332E+000	         1.1385E+000	         5.1719E-001	         2.6304E-001	         1.5634E+000
 5	         1.7268E+002	         2.1414E+002	         2.7767E+002	         1.7572E+002	         2.2200E+002	         5.1993E+001	         1.9022E+002
 6	         2.9135E+003	         1.0312E+004	         1.1300E+004	         5.7015E+003	         1.2074E+004	         6.5276E+003	         1.2370E+001
 7	        -2.9606E+005	         4.0361E+005	         7.7873E+005	         7.1927E+005	         6.7592E+005	         5.1082E+005	         3.5232E+002
 8	         2.2544E+007	        -3.7230E+007	         6.3604E+007	         4.8983E+007	         5.8050E+007	         3.1754E+007	         3.5265E+002
 9	        -2.2172E+009	        -2.4324E+009	         1.1812E+010	         5.4345E+009	         1.2646E+010	         4.0693E+009	         5.2944E+000
10	         4.1642E+011	        -3.2281E+011	         1.3514E+012	         9.3376E+011	         1.3490E+012	         6.6589E+011	         3.5622E+002
