Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap60\Translado60_X=-15_#006.dat
Data.................: 27/01/2005
Hora.................: 15:18:38
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         7.6693E-005	        -1.0301E-004	         1.2842E-004	         4.1653E-007	         3.2257E-007	         4.2020E-007	         1.2667E+002
 2	        -9.8800E-004	         1.4459E-002	         1.4492E-002	         7.8152E-004	         1.1431E-002	         3.9208E-005	         1.3695E+002
 3	         1.1994E-001	        -3.7629E-001	         3.9495E-001	         1.0954E-001	         3.4353E-001	         3.8268E-003	         1.5589E+002
 4	        -6.6368E+000	        -8.6423E+000	         1.0901E+001	         6.4299E+000	         8.3835E+000	         4.5159E-001	         1.9312E+002
 5	         1.9723E+002	         3.0092E+002	         3.6054E+002	         1.9887E+002	         3.0394E+002	         4.2424E+001	         1.9135E+002
 6	         3.7278E+003	        -3.7416E+003	         6.1620E+003	         5.1286E+003	         5.9370E+003	         4.4609E+003	         3.5248E+002
 7	        -1.4635E+005	        -1.4806E+005	         5.3944E+005	         4.3100E+005	         4.4280E+005	         1.6071E+005	         6.4763E+000
 8	         6.8294E+006	         2.4889E+007	         7.6092E+007	         3.8556E+007	         8.5385E+007	         4.0544E+007	         9.3321E+000
 9	        -1.5697E+009	        -1.9574E+009	         7.4803E+009	         5.2490E+009	         6.6340E+009	         1.5789E+009	         5.6971E+000
10	         1.9440E+010	         7.4770E+010	         8.6408E+011	         4.1576E+011	         1.0605E+012	         6.0413E+011	         7.5426E+000
