Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap60\Translado60_X=11_#032.dat
Data.................: 27/01/2005
Hora.................: 16:04:18
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.6876E-005	        -1.1637E-005	         9.7572E-005	         2.6061E-007	         2.3124E-007	         2.5882E-007	         1.7315E+002
 2	         4.3136E-003	        -4.0593E-003	         5.9233E-003	         3.4103E-003	         3.2093E-003	         2.5068E-005	         3.3837E+002
 3	         2.9910E-001	         8.1979E-002	         3.1013E-001	         2.7304E-001	         7.4858E-002	         2.3164E-003	         1.8511E+002
 4	         9.7042E+000	         2.4388E+001	         2.6248E+001	         9.3964E+000	         2.3615E+001	         2.1115E-001	         1.7076E+001
 5	         1.7830E+001	         2.5328E+002	         2.5434E+002	         2.5268E+001	         2.5489E+002	         2.9409E+001	         1.9719E+002
 6	        -9.3840E+003	        -1.4794E+004	         1.7580E+004	         9.8126E+003	         1.5329E+004	         2.9794E+003	         1.8960E+002
 7	        -4.8536E+005	        -5.7862E+005	         8.0600E+005	         6.0217E+005	         6.6498E+005	         3.0761E+005	         7.1442E+000
 8	         9.3325E+006	        -1.3213E+007	         2.4372E+007	         1.5086E+007	         2.4210E+007	         1.0589E+007	         3.5315E+002
 9	        -5.4071E+008	         1.9925E+009	         6.4434E+009	         1.7107E+009	         7.6594E+009	         3.2075E+009	         3.5169E+002
10	         1.3434E+011	        -1.5782E+011	         6.8986E+011	         3.9815E+011	         7.2479E+011	         3.0712E+011	         3.5504E+002
