Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 8.3263E-005	        -1.8263E-004	 -2.5726E-003	         1.7114E-002	  2.4243E-001	        -1.9250E-001	 -9.7473E+000	        -1.5285E+001	  2.6173E-007	 3.1057E-007	 3.2909E-007	
 8.1643E-005	        -1.6560E-004	 -2.1653E-003	         1.6726E-002	  2.1540E-001	        -2.3482E-001	 -9.3458E+000	        -1.3830E+001	  4.1143E-007	 3.1979E-007	 3.4707E-007	
 8.0308E-005	        -1.4955E-004	 -1.8609E-003	         1.6388E-002	  1.8754E-001	        -2.8208E-001	 -8.6689E+000	        -1.2683E+001	  3.0552E-007	 2.7758E-007	 1.9702E-007	
 7.7934E-005	        -1.3297E-004	 -1.4467E-003	         1.5684E-002	  1.6221E-001	        -3.1001E-001	 -8.0128E+000	        -1.1174E+001	  2.6010E-007	 3.0801E-007	 1.9375E-007	
 7.6731E-005	        -1.1729E-004	 -1.0891E-003	         1.4936E-002	  1.3828E-001	        -3.3687E-001	 -7.5171E+000	        -9.7511E+000	  2.1767E-007	 2.7230E-007	 2.8534E-007	
 7.6693E-005	        -1.0301E-004	 -9.8800E-004	         1.4459E-002	  1.1994E-001	        -3.7629E-001	 -6.6368E+000	        -8.6423E+000	  4.1653E-007	 3.2257E-007	 4.2020E-007	
 7.5225E-005	        -8.8842E-005	 -6.9895E-004	         1.3571E-002	  9.8410E-002	        -3.9360E-001	 -5.9851E+000	        -7.0490E+000	  3.3604E-007	 7.3874E-007	 6.5098E-007	
 7.5007E-005	        -7.5530E-005	 -5.7717E-004	         1.2859E-002	  8.6593E-002	        -4.1567E-001	 -4.9341E+000	        -6.4044E+000	  4.1324E-007	 3.2081E-007	 2.8958E-007	
 7.3982E-005	        -6.2811E-005	 -3.4105E-004	         1.1910E-002	  6.8246E-002	        -4.2542E-001	 -4.4077E+000	        -5.5215E+000	  2.7557E-007	 2.4363E-007	 2.9448E-007	
 7.3873E-005	        -5.1598E-005	 -2.6525E-004	         1.1119E-002	  5.8437E-002	        -4.4751E-001	 -3.4690E+000	        -4.3907E+000	  4.2041E-007	 7.4909E-007	 5.3829E-007	
 7.3811E-005	        -4.0254E-005	 -2.9750E-004	         1.0335E-002	  5.2133E-002	        -4.7217E-001	 -2.6545E+000	        -3.8566E+000	  2.0180E-007	 2.6316E-007	 2.3180E-007	
 7.3595E-005	        -3.0530E-005	 -1.3534E-004	         9.3574E-003	  4.3425E-002	        -4.7724E-001	 -2.0529E+000	        -2.9622E+000	  2.2604E-007	 2.5733E-007	 1.4068E-007	
 7.3340E-005	        -2.1639E-005	 -1.2120E-005	         8.3807E-003	  3.6698E-002	        -4.7781E-001	 -1.1760E+000	        -2.3510E+000	  3.6829E-007	 3.4083E-007	 3.2365E-007	
 7.3216E-005	        -1.3782E-005	  1.2911E-004	         7.3553E-003	  3.1827E-002	        -4.7150E-001	 -6.8647E-001	        -1.2855E+000	  1.9406E-007	 6.4457E-007	 2.9294E-007	
 7.3834E-005	        -6.4519E-006	  3.4477E-005	         6.5154E-003	  3.8126E-002	        -4.9507E-001	  1.1131E-001	        -4.7234E-001	  1.7838E-007	 1.4025E-007	 1.7576E-007	
