Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap60\Translado60_X=-9_#012.dat
Data.................: 27/01/2005
Hora.................: 15:28:24
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         7.3595E-005	        -3.0530E-005	         7.9677E-005	         2.2604E-007	         2.5733E-007	         1.4068E-007	         1.5747E+002
 2	        -1.3534E-004	         9.3574E-003	         9.3584E-003	         1.0738E-004	         7.3977E-003	         2.7154E-005	         1.3541E+002
 3	         4.3425E-002	        -4.7724E-001	         4.7922E-001	         3.9705E-002	         4.3567E-001	         3.2129E-003	         1.5173E+002
 4	        -2.0529E+000	        -2.9622E+000	         3.6113E+000	         1.9996E+000	         2.8936E+000	         3.5918E-001	         1.9382E+002
 5	         1.6436E+002	         2.0364E+002	         2.6368E+002	         1.6566E+002	         2.1060E+002	         4.4812E+001	         1.9022E+002
 6	        -1.1362E+003	         2.2959E+003	         4.6777E+003	         2.2582E+003	         5.0427E+003	         2.1316E+003	         1.6939E+002
 7	         1.0918E+005	         4.4671E+005	         7.2999E+005	         3.6130E+005	         7.9373E+005	         3.6358E+005	         1.9090E+002
 8	         4.0722E+006	         3.9180E+006	         5.3413E+007	         2.3593E+007	         5.9721E+007	         2.3707E+007	         5.4867E+000
 9	        -1.3342E+009	        -2.0237E+009	         1.0409E+010	         8.3353E+009	         8.1600E+009	         1.2053E+009	         6.2894E+000
10	         3.2976E+011	        -5.6838E+010	         8.3712E+011	         7.2092E+011	         6.5880E+011	         3.0295E+011	         3.5902E+002
