Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap60\Translado60_X=3_#024.dat
Data.................: 27/01/2005
Hora.................: 15:50:23
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         7.7843E-005	         1.4746E-005	         7.9227E-005	         4.8087E-007	         8.0803E-008	         4.6928E-007	         1.9073E+002
 2	         1.1482E-003	        -1.4810E-003	         1.8740E-003	         9.0806E-004	         1.1709E-003	         1.7372E-005	         3.3389E+002
 3	         1.1257E-001	        -3.5858E-001	         3.7584E-001	         1.0278E-001	         3.2735E-001	         2.4301E-003	         1.5581E+002
 4	         5.7983E+000	         1.1460E+001	         1.2846E+001	         5.6222E+000	         1.1101E+001	         3.4912E-001	         1.5791E+001
 5	         1.5192E+002	         4.3836E+002	         4.6406E+002	         1.5265E+002	         4.3931E+002	         3.0096E+001	         1.9418E+002
 6	         2.4324E+001	         3.7459E+003	         4.4990E+003	         2.8790E+003	         4.9599E+003	         3.2422E+003	         1.4938E+001
 7	        -1.4099E+005	        -1.4118E+005	         3.2123E+005	         2.8060E+005	         2.9696E+005	         2.1223E+005	         6.4342E+000
 8	        -1.6328E+007	        -4.0207E+006	         3.6568E+007	         1.8366E+007	         3.7872E+007	         1.2012E+007	         1.8173E+002
 9	        -1.4035E+009	        -1.8833E+009	         4.7563E+009	         4.1786E+009	         4.4084E+009	         3.0632E+009	         5.9228E+000
10	        -2.2998E+011	         3.2962E+011	         4.4057E+011	         3.3448E+011	         3.8512E+011	         1.9433E+011	         1.7449E+002
