Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap60\Translado60_X=-5_#016.dat
Data.................: 27/01/2005
Hora.................: 15:36:06
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         7.4112E-005	        -3.4409E-007	         7.4113E-005	         4.0865E-007	         1.2231E-007	         4.0847E-007	         1.7973E+002
 2	         1.2077E-004	         5.5271E-003	         5.5284E-003	         9.6996E-005	         4.3696E-003	         2.4823E-005	         4.4374E+001
 3	         3.7689E-002	        -4.9137E-001	         4.9282E-001	         3.4501E-002	         4.4857E-001	         3.3403E-003	         1.5146E+002
 4	         6.5072E-001	         3.7625E-001	         7.9116E-001	         6.6632E-001	         5.2451E-001	         3.3652E-001	         7.5092E+000
 5	         1.4116E+002	         2.5960E+002	         2.9640E+002	         1.4354E+002	         2.6484E+002	         5.2447E+001	         1.9229E+002
 6	         1.1758E+002	         5.5771E+003	         5.8450E+003	         1.7830E+003	         7.7826E+003	         5.2465E+003	         1.4799E+001
 7	        -1.0370E+005	         4.7069E+005	         6.3081E+005	         1.2879E+005	         7.6891E+005	         3.8974E+005	         3.4892E+002
 8	        -2.0431E+006	        -1.2378E+005	         6.5303E+007	         5.2863E+007	         5.7393E+007	         2.7539E+007	         1.8043E+002
 9	         5.6334E+008	         1.1623E+009	         7.8729E+009	         6.0898E+009	         7.0254E+009	         3.0324E+009	         1.8713E+002
10	         2.7987E+011	        -3.8035E+011	         9.4854E+011	         6.4229E+011	         9.5396E+011	         4.7517E+011	         3.5463E+002
