Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap200\Translado200_X=12_#006.dat
Data.................: 26/01/2005
Hora.................: 10:17:38
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.4736E-005	        -1.0121E-004	         1.3200E-004	         7.1530E-007	         9.9476E-007	         3.7530E-007	         1.2994E+002
 2	        -3.6104E-004	        -2.4072E-003	         2.4365E-003	         3.1395E-004	         1.9034E-003	         5.8196E-005	         2.2074E+002
 3	        -5.7611E-003	        -5.9411E-003	         1.1594E-002	         1.0706E-002	         6.0757E-003	         3.4678E-003	         1.5294E+001
 4	         1.8721E-001	         2.1031E-001	         7.3212E-001	         7.1080E-001	         4.4055E-001	         2.3260E-001	         1.2081E+001
 5	        -5.2171E+001	        -2.2097E+001	         6.3693E+001	         6.5863E+001	         4.7868E+001	         4.8588E+001	         4.5910E+000
 6	         3.9472E+003	         8.3939E+002	         7.3769E+003	         6.1432E+003	         6.1553E+003	         3.3160E+003	         2.0009E+000
 7	        -2.3851E+005	         6.2833E+004	         6.6752E+005	         5.3844E+005	         5.9527E+005	         3.1328E+005	         3.5789E+002
 8	        -3.9890E+005	         1.1667E+007	         1.0800E+008	         7.3241E+007	         1.1368E+008	         6.1047E+007	         1.6899E+002
 9	         1.9898E+009	        -1.3711E+009	         1.1875E+010	         8.7660E+009	         1.0502E+010	         3.4180E+009	         1.7616E+002
10	         9.9172E+009	         1.7532E+011	         1.2523E+012	         6.4882E+011	         1.4408E+012	         7.3519E+011	         8.6762E+000
