Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 9.3056E-005	        -3.6454E-005	 -1.7069E-004	        -1.7728E-003	 -6.8301E-003	        -9.2910E-003	  1.9165E-001	        -4.0330E-003	  2.0007E-007	 1.4624E-007	 1.8420E-007	
 9.2819E-005	        -3.8288E-005	 -1.8637E-004	        -1.7908E-003	 -7.2349E-003	        -8.6068E-003	  1.7580E-001	        -1.5359E-002	  1.6825E-007	 1.4998E-007	 1.9817E-007	
 9.2561E-005	        -4.0275E-005	 -2.0300E-004	        -1.7976E-003	 -7.2663E-003	        -1.0228E-002	  1.7221E-001	        -3.2614E-002	  2.1295E-007	 1.8748E-007	 2.2334E-007	
 9.2180E-005	        -4.2048E-005	 -2.0347E-004	        -1.8112E-003	 -6.9032E-003	        -9.4819E-003	  1.9162E-001	         2.4212E-002	  2.9935E-007	 1.1094E-007	 2.7832E-007	
 9.2151E-005	        -4.3522E-005	 -2.0054E-004	        -1.8552E-003	 -6.9056E-003	        -8.7734E-003	  2.2667E-001	        -1.0350E-001	  1.5356E-007	 1.7466E-007	 1.8922E-007	
 9.1856E-005	        -4.5458E-005	 -2.1571E-004	        -1.8584E-003	 -6.2309E-003	        -9.6975E-003	  1.7359E-001	        -5.0224E-003	  1.7777E-007	 1.3516E-007	 2.0372E-007	
 9.1802E-005	        -4.7122E-005	 -2.1118E-004	        -1.8871E-003	 -5.9389E-003	        -9.5898E-003	  1.2899E-001	        -8.1871E-002	  1.9195E-007	 1.1559E-007	 2.1348E-007	
 9.1371E-005	        -4.9369E-005	 -2.2977E-004	        -1.9011E-003	 -5.8594E-003	        -9.5486E-003	  1.0817E-001	        -1.7451E-002	  2.8644E-007	 1.2430E-007	 2.7319E-007	
 9.0939E-005	        -5.1549E-005	 -2.4544E-004	        -1.9071E-003	 -4.9659E-003	        -1.0192E-002	  2.2220E-001	         2.8908E-002	  1.8777E-007	 1.6084E-007	 1.1063E-007	
 9.0759E-005	        -5.3430E-005	 -2.4675E-004	        -1.9205E-003	 -5.7344E-003	        -1.0243E-002	  1.5973E-001	         7.9611E-002	  1.4198E-007	 2.4797E-007	 2.0979E-007	
 9.0584E-005	        -5.4999E-005	 -2.4660E-004	        -1.9592E-003	 -6.3891E-003	        -8.9898E-003	  2.4051E-001	        -6.7354E-002	  2.1166E-007	 2.1611E-007	 1.7761E-007	
 8.9913E-005	        -5.7465E-005	 -2.5874E-004	        -1.9627E-003	 -4.4469E-003	        -1.0789E-002	  2.1081E-001	        -1.4441E-001	  1.8244E-007	 1.7529E-007	 1.2758E-007	
 9.0289E-005	        -5.8867E-005	 -2.5335E-004	        -1.9882E-003	 -4.5090E-003	        -9.7719E-003	  1.2519E-001	         3.7272E-002	  1.8688E-007	 1.0616E-007	 1.9743E-007	
 8.9770E-005	        -6.1035E-005	 -2.5260E-004	        -2.0151E-003	 -4.3377E-003	        -9.7912E-003	  2.3020E-001	        -6.7028E-002	  2.4199E-007	 2.5604E-007	 1.9828E-007	
 8.9733E-005	        -6.2744E-005	 -2.5446E-004	        -2.0351E-003	 -3.7081E-003	        -1.0632E-002	  8.8764E-002	         1.1921E-001	  2.1306E-007	 2.6852E-007	 2.3414E-007	
 8.9057E-005	        -6.5228E-005	 -2.7658E-004	        -2.0487E-003	 -4.0354E-003	        -9.9999E-003	  1.1777E-001	         1.1066E-002	  1.5793E-007	 1.5993E-007	 9.1090E-008	
 8.9080E-005	        -6.6667E-005	 -2.4824E-004	        -2.0842E-003	 -3.8659E-003	        -8.1435E-003	  1.4984E-001	        -5.7975E-002	  2.2068E-007	 2.7516E-007	 2.2076E-007	
 8.8590E-005	        -6.8979E-005	 -2.7069E-004	        -2.1106E-003	 -4.2903E-003	        -8.8732E-003	  9.0664E-002	        -1.3492E-001	  1.9305E-007	 2.8485E-007	 2.2996E-007	
 8.8750E-005	        -7.0738E-005	 -2.5759E-004	        -2.1293E-003	 -4.6628E-003	        -8.3419E-003	  1.3552E-001	        -1.2761E-001	  1.4033E-007	 3.2402E-007	 1.5790E-007	
 8.8345E-005	        -7.2992E-005	 -2.6535E-004	        -2.1406E-003	 -4.3206E-003	        -9.1557E-003	  1.3745E-001	        -2.2362E-002	  2.1015E-007	 2.7962E-007	 1.8521E-007	
 8.7726E-005	        -7.5498E-005	 -2.8540E-004	        -2.1544E-003	 -5.4784E-003	        -9.0190E-003	  1.1173E-001	        -1.2339E-001	  2.1983E-007	 4.1728E-007	 2.4192E-007	
 8.7297E-005	        -7.7772E-005	 -2.9817E-004	        -2.1681E-003	 -4.0286E-003	        -9.3753E-003	 -4.6795E-002	         4.9113E-002	  1.8843E-007	 4.2092E-007	 3.4045E-007	
 8.7234E-005	        -7.9791E-005	 -2.9358E-004	        -2.1970E-003	 -4.8044E-003	        -8.8615E-003	  1.2955E-001	        -3.7818E-002	  2.6437E-007	 4.9452E-007	 4.1780E-007	
 8.7117E-005	        -8.1929E-005	 -2.9678E-004	        -2.2126E-003	 -5.1952E-003	        -9.0795E-003	  9.6912E-002	        -4.8356E-002	  2.3665E-007	 3.3037E-007	 3.4316E-007	
