Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap200\Translado200_X=-3_#018.dat
Data.................: 26/01/2005
Hora.................: 09:36:29
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.8590E-005	        -6.8979E-005	         1.1228E-004	         1.9305E-007	         2.8485E-007	         2.2996E-007	         1.4209E+002
 2	        -2.7069E-004	        -2.1106E-003	         2.1279E-003	         2.1402E-004	         1.6691E-003	         4.0071E-005	         2.2135E+002
 3	        -4.2903E-003	        -8.8732E-003	         1.0081E-002	         4.3444E-003	         9.2381E-003	         4.2015E-003	         2.1399E+001
 4	         9.0664E-002	        -1.3492E-001	         4.9328E-001	         1.9506E-001	         5.2663E-001	         1.3962E-001	         3.4598E+002
 5	        -2.6447E+001	         1.7515E+001	         6.3838E+001	         3.1301E+001	         6.8558E+001	         2.8938E+001	         3.5330E+002
 6	         9.5246E+002	        -2.1249E+003	         6.5457E+003	         2.8536E+003	         7.4748E+003	         3.4040E+003	         3.4902E+002
 7	        -2.2869E+005	         1.7487E+005	         8.5287E+005	         4.0042E+005	         9.1343E+005	         3.1663E+005	         3.5466E+002
 8	         2.5096E+007	        -1.4195E+007	         9.8790E+007	         5.1047E+007	         1.0118E+008	         2.7809E+007	         3.5631E+002
 9	        -2.5191E+009	         2.6362E+009	         1.0995E+010	         5.3324E+009	         1.1769E+010	         4.2051E+009	         3.5486E+002
10	         3.2865E+011	        -2.2425E+011	         1.3052E+012	         6.5348E+011	         1.3553E+012	         3.9270E+011	         3.5657E+002
