Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap200\Translado200_X=-11_#010.dat
Data.................: 26/01/2005
Hora.................: 09:22:01
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.0759E-005	        -5.3430E-005	         1.0532E-004	         1.4198E-007	         2.4797E-007	         2.0979E-007	         1.4951E+002
 2	        -2.4675E-004	        -1.9205E-003	         1.9363E-003	         1.9538E-004	         1.5185E-003	         2.7262E-005	         2.2134E+002
 3	        -5.7344E-003	        -1.0243E-002	         1.1765E-002	         5.4528E-003	         9.6327E-003	         2.6305E-003	         2.0253E+001
 4	         1.5973E-001	         7.9611E-002	         3.9327E-001	         2.0612E-001	         4.1910E-001	         1.8642E-001	         6.6231E+000
 5	        -1.6435E+001	        -1.3348E+001	         4.1795E+001	         2.3011E+001	         4.4904E+001	         2.1780E+001	         7.8163E+000
 6	         1.0193E+003	         7.9961E+002	         4.5077E+003	         2.1004E+003	         5.1735E+003	         2.4753E+003	         6.3521E+000
 7	        -1.7976E+005	        -1.2600E+005	         3.6456E+005	         2.2733E+005	         4.0003E+005	         2.3277E+005	         5.0038E+000
 8	         2.1180E+006	         1.3208E+007	         3.8422E+007	         2.2600E+007	         4.7469E+007	         3.0769E+007	         1.0111E+001
 9	        -1.4875E+009	        -3.1356E+009	         5.3399E+009	         3.3670E+009	         6.1606E+009	         3.9140E+009	         7.1801E+000
10	         1.6937E+011	         1.9631E+011	         8.1736E+011	         2.1720E+011	         9.8170E+011	         4.2919E+011	         4.9212E+000
