Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 8.3024E-005	        -2.5936E-004	  2.8321E-003	         2.9957E-002	  1.8803E-001	        -8.1557E-001	 -3.4330E+001	        -2.2456E+001	  2.4007E-007	 5.1425E-007	 4.4669E-007	
 8.6930E-005	        -2.2995E-004	  3.0331E-003	         2.8467E-002	  9.6115E-002	        -8.7181E-001	 -2.8672E+001	        -1.3931E+001	  2.7455E-007	 6.9322E-007	 5.6033E-007	
 8.9753E-005	        -2.0124E-004	  3.2303E-003	         2.6500E-002	  1.6985E-002	        -8.8884E-001	 -2.3049E+001	        -5.9649E+000	  4.0320E-007	 4.9993E-007	 4.4704E-007	
 9.2801E-005	        -1.7588E-004	  3.2123E-003	         2.4759E-002	 -4.1515E-002	        -8.9829E-001	 -1.7308E+001	         4.5821E-001	  5.6319E-007	 5.1612E-007	 5.9484E-007	
 9.7363E-005	        -1.5232E-004	  2.8890E-003	         2.3306E-002	 -7.8511E-002	        -9.0959E-001	 -1.2379E+001	         5.5365E+000	  3.9362E-007	 5.4130E-007	 5.0962E-007	
 9.9692E-005	        -1.2930E-004	  2.7812E-003	         2.1365E-002	 -1.1102E-001	        -8.7571E-001	 -7.6725E+000	         8.3493E+000	  5.3897E-007	 3.0216E-007	 4.4779E-007	
 1.0202E-004	        -1.0818E-004	  2.6288E-003	         1.9481E-002	 -1.2867E-001	        -8.3029E-001	 -4.0913E+000	         9.6842E+000	  3.9477E-007	 2.6997E-007	 2.4326E-007	
 1.0587E-004	        -8.9819E-005	  2.1352E-003	         1.8219E-002	 -1.3078E-001	        -8.3550E-001	 -2.1493E+000	         1.0260E+001	  6.2542E-007	 4.4539E-007	 6.7534E-007	
 1.0782E-004	        -7.2369E-005	  1.8735E-003	         1.6686E-002	 -1.3666E-001	        -8.1006E-001	 -3.8984E-001	         9.2688E+000	  2.3962E-007	 3.0835E-007	 2.1981E-007	
 1.0934E-004	        -5.6283E-005	  1.6749E-003	         1.5021E-002	 -1.3414E-001	        -7.7519E-001	  5.0901E-001	         6.8725E+000	  3.8410E-007	 4.4927E-007	 3.5379E-007	
