Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap42\Translado42_X=4_#025.dat
Data.................: 02/02/2005
Hora.................: 10:41:41
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.0666E-004	         4.3219E-006	         1.0675E-004	         4.3622E-007	         4.7987E-007	         4.3986E-007	         1.8232E+002
 2	        -1.2780E-003	        -7.1402E-003	         7.2537E-003	         1.0107E-003	         5.6448E-003	         2.0430E-005	         2.1993E+002
 3	         1.0178E-002	        -6.3379E-001	         6.3387E-001	         9.3873E-003	         5.7858E-001	         3.1698E-003	         1.5031E+002
 4	         8.9435E+000	         1.8476E+001	         2.0530E+001	         8.6642E+000	         1.7899E+001	         4.8341E-001	         1.6043E+001
 5	         2.9703E+002	         9.2873E+002	         9.7640E+002	         3.0165E+002	         9.2984E+002	         3.9888E+001	         1.9445E+002
 6	         7.7535E+003	         1.0474E+004	         1.3917E+004	         1.0843E+004	         1.1814E+004	         7.0994E+003	         8.9148E+000
 7	         1.0096E+006	         1.0690E+005	         1.2912E+006	         1.0930E+006	         8.6572E+005	         2.0971E+005	         1.8086E+002
 8	         4.7155E+007	         1.7476E+007	         8.2445E+007	         8.4433E+007	         5.4603E+007	         4.4823E+007	         2.5418E+000
 9	        -8.3219E+008	        -3.8704E+009	         1.2573E+010	         1.1801E+010	         9.4957E+009	         5.8319E+009	         8.6517E+000
10	         5.6466E+011	        -2.2325E+011	         1.0700E+012	         8.9251E+011	         9.0322E+011	         4.7678E+011	         3.5784E+002
