Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 5.6750E-005	        -1.7964E-004	  4.6431E-002	         6.0105E-002	 -4.3301E+000	        -7.7962E+000	 -3.8774E+002	         1.6328E+001	  7.9257E-007	 4.4199E-007	 3.9284E-007	
 9.9852E-005	        -1.2507E-004	  3.6816E-002	         4.4905E-002	 -5.1745E+000	        -7.4906E+000	 -1.8251E+002	         1.9013E+002	  9.0951E-007	 2.1022E-007	 5.1404E-007	
 1.3234E-004	        -8.7638E-005	  2.5975E-002	         3.1350E-002	 -5.3528E+000	        -6.7975E+000	  3.1501E+001	         3.4428E+002	  8.1146E-007	 6.7540E-007	 3.9009E-007	
 1.5416E-004	        -6.1542E-005	  1.5541E-002	         1.9582E-002	 -4.9546E+000	        -5.6332E+000	  2.1564E+002	         4.5955E+002	  5.2864E-007	 6.3493E-007	 4.3752E-007	
 1.6312E-004	        -4.5019E-005	  6.6381E-003	         8.9592E-003	 -4.1355E+000	        -4.0764E+000	  3.4741E+002	         5.1059E+002	  7.7758E-007	 3.7197E-007	 7.5510E-007	
 1.6709E-004	        -3.8509E-005	 -4.8784E-004	         2.7630E-003	 -3.0010E+000	        -2.5811E+000	  3.9790E+002	         5.0296E+002	  8.2678E-007	 3.5906E-007	 7.6969E-007	
 1.6495E-004	        -3.7191E-005	 -5.4838E-003	        -6.6309E-004	 -1.8146E+000	        -1.2262E+000	  3.7838E+002	         4.3791E+002	  3.8602E-007	 7.0088E-007	 3.5550E-007	
 1.5771E-004	        -3.7482E-005	 -7.9014E-003	        -2.0804E-003	 -7.8068E-001	        -6.6171E-002	  3.1372E+002	         3.2057E+002	  3.5812E-007	 2.9852E-007	 3.8126E-007	
 1.4860E-004	        -3.7836E-005	 -8.5815E-003	        -1.4232E-003	  1.4781E-002	         6.9769E-001	  2.2337E+002	         1.8499E+002	  9.3242E-007	 5.9962E-007	 9.8734E-007	
 1.4103E-004	        -3.7358E-005	 -8.1558E-003	         4.2644E-004	  5.2998E-001	         1.0295E+000	  1.2717E+002	         6.0679E+001	  3.1247E-007	 5.6216E-007	 3.3983E-007	
 1.3312E-004	        -3.4209E-005	 -6.8035E-003	         2.5945E-003	  7.8332E-001	         1.0537E+000	  4.6944E+001	        -3.7635E+001	  8.5134E-007	 3.8974E-007	 8.3863E-007	
 1.2706E-004	        -2.9698E-005	 -5.1888E-003	         4.3914E-003	  8.3363E-001	         8.4746E-001	 -1.0089E+001	        -9.5862E+001	  6.7172E-007	 6.3439E-007	 7.4871E-007	
 1.2326E-004	        -2.2661E-005	 -3.7195E-003	         5.8128E-003	  7.3903E-001	         4.9222E-001	 -4.5385E+001	        -1.1471E+002	  8.3318E-007	 4.2831E-007	 8.1904E-007	
 1.1946E-004	        -1.5991E-005	 -2.3646E-003	         6.5049E-003	  5.7453E-001	         1.6354E-001	 -6.1030E+001	        -1.0601E+002	  8.6716E-007	 7.9517E-007	 8.4015E-007	
 1.1851E-004	        -7.9923E-006	 -1.5349E-003	         6.5787E-003	  3.8927E-001	        -1.3833E-001	 -6.3944E+001	        -8.2896E+001	  9.2173E-007	 7.2622E-007	 9.5478E-007	
 1.1634E-004	         2.8370E-007	 -9.9197E-004	         5.9423E-003	  2.0861E-001	        -3.6744E-001	 -5.7253E+001	        -5.7000E+001	  7.0663E-007	 6.6454E-007	 7.0568E-007	
 1.1560E-004	         7.7896E-006	 -7.0922E-004	         5.3194E-003	  5.6753E-002	        -4.8943E-001	 -4.4427E+001	        -3.5481E+001	  8.9978E-007	 8.5338E-007	 8.7753E-007	
 1.1493E-004	         1.2689E-005	 -7.8943E-004	         4.1073E-003	 -4.9756E-002	        -5.9580E-001	 -2.8820E+001	        -1.8544E+001	  7.8880E-007	 6.1297E-007	 7.6361E-007	
 1.1450E-004	         1.8061E-005	 -1.1572E-003	         2.9436E-003	 -1.1136E-001	        -6.5855E-001	 -1.2269E+001	        -6.0079E+000	  5.3769E-007	 7.0641E-007	 5.2290E-007	
 1.1193E-004	         2.1182E-005	 -1.2201E-003	         1.8104E-003	 -1.2464E-001	        -6.3019E-001	  3.6568E+000	         7.4820E+000	  6.9103E-007	 4.7376E-007	 6.7212E-007	
 1.1064E-004	         2.4161E-005	 -1.5434E-003	         4.8545E-004	 -9.4053E-002	        -6.0953E-001	  1.7315E+001	         2.3694E+001	  7.5894E-007	 8.2057E-007	 7.9425E-007	
 1.0925E-004	         2.5436E-005	 -1.6086E-003	        -5.2544E-004	 -2.2118E-002	        -5.0938E-001	  2.8089E+001	         4.1166E+001	  5.9659E-007	 6.8234E-007	 5.7972E-007	
 1.0745E-004	         2.5512E-005	 -1.7217E-003	        -1.5479E-003	  7.1258E-002	        -3.8437E-001	  3.4331E+001	         6.1329E+001	  4.5608E-007	 6.4166E-007	 3.3389E-007	
 1.0600E-004	         2.4646E-005	 -1.3232E-003	        -1.8550E-003	  1.7332E-001	        -1.5605E-001	  3.3449E+001	         7.5313E+001	  7.3491E-007	 7.0222E-007	 8.1555E-007	
 1.0330E-004	         2.3998E-005	 -1.0255E-003	        -2.1577E-003	  2.5988E-001	         5.4542E-002	  2.0882E+001	         7.9812E+001	  3.8699E-007	 7.6089E-007	 3.1979E-007	
 1.0296E-004	         2.4123E-005	 -4.0933E-004	        -1.5650E-003	  2.7744E-001	         2.7967E-001	 -7.2614E+000	         6.6546E+001	  4.3392E-007	 4.4786E-007	 3.7761E-007	
 1.0208E-004	         2.3911E-005	  7.1771E-005	        -8.1242E-004	  1.9596E-001	         4.2623E-001	 -4.9568E+001	         3.1151E+001	  4.9582E-007	 6.4780E-007	 5.1894E-007	
 1.0169E-004	         2.4363E-005	  1.6566E-004	         1.2223E-004	 -3.6747E-002	         4.2056E-001	 -1.0429E+002	        -2.8497E+001	  8.3220E-007	 3.1237E-007	 8.4148E-007	
 1.0196E-004	         2.5684E-005	 -3.6380E-004	         6.7769E-004	 -4.3967E-001	         2.0504E-001	 -1.5808E+002	        -1.0754E+002	  6.3773E-007	 2.8919E-007	 6.6867E-007	
 9.9900E-005	         2.7352E-005	 -1.8445E-003	         5.2758E-004	 -9.7411E-001	        -2.5903E-001	 -1.9797E+002	        -1.9331E+002	  6.0803E-007	 4.3149E-007	 6.2501E-007	
 9.6385E-005	         2.8495E-005	 -4.4301E-003	        -6.7027E-004	 -1.5938E+000	        -9.6854E-001	 -2.1443E+002	        -2.7159E+002	  5.8879E-007	 4.5156E-007	 5.8768E-007	
 9.1065E-005	         2.9701E-005	 -8.1386E-003	        -2.8350E-003	 -2.2541E+000	        -1.8273E+000	 -2.0601E+002	        -3.2139E+002	  8.1966E-007	 3.9885E-007	 8.5651E-007	
 7.8710E-005	         2.3083E-005	 -1.3319E-002	        -8.2743E-003	 -2.7535E+000	        -2.8921E+000	 -1.5477E+002	        -3.3643E+002	  5.5397E-007	 4.7077E-007	 5.8636E-007	
 6.3099E-005	         1.4742E-005	 -1.9181E-002	        -1.4549E-002	 -3.1350E+000	        -3.8235E+000	 -8.1986E+001	        -2.9106E+002	  5.5066E-007	 5.8485E-007	 4.3627E-007	
 4.0745E-005	        -1.6293E-006	 -2.5676E-002	        -2.2572E-002	 -3.2513E+000	        -4.5277E+000	  2.7121E+001	        -1.7813E+002	  5.8201E-007	 3.2752E-007	 5.7659E-007	
 1.0668E-005	        -3.0788E-005	 -3.1737E-002	        -3.2787E-002	 -2.8856E+000	        -4.8621E+000	  1.7689E+002	         1.0565E+001	  7.8566E-007	 6.8798E-007	 5.9684E-007	
-2.4832E-005	        -6.8721E-005	 -3.6770E-002	        -4.2486E-002	 -2.0838E+000	        -4.4856E+000	  3.5372E+002	         2.6452E+002	  3.5318E-007	 3.3041E-007	 3.6931E-007	
-6.3252E-005	        -1.1150E-004	 -3.9918E-002	        -4.9725E-002	 -7.8667E-001	        -3.2562E+000	  5.4636E+002	         5.4657E+002	  3.1790E-007	 7.5620E-007	 7.3555E-007	
-1.0426E-004	        -1.6443E-004	 -3.9633E-002	        -5.4592E-002	  1.1123E+000	        -1.2241E+000	  7.1238E+002	         8.1287E+002	  5.2306E-007	 5.7780E-007	 7.2853E-007	
