Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap23\Translado23_X=-10_#011.dat
Data.................: 14/02/2005
Hora.................: 08:44:26
Ganho................: 5
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.3312E-004	        -3.4209E-005	         1.3745E-004	         8.5134E-007	         3.8974E-007	         8.3863E-007	         1.6559E+002
 2	        -6.8035E-003	         2.5945E-003	         7.2816E-003	         5.3788E-003	         2.0520E-003	         2.5572E-005	         1.6956E+002
 3	         7.8332E-001	         1.0537E+000	         1.3130E+000	         7.1508E-001	         9.6196E-001	         7.9419E-003	         1.9779E+002
 4	         4.6944E+001	        -3.7635E+001	         6.0170E+001	         4.5459E+001	         3.6443E+001	         6.2536E-001	         3.5032E+002
 5	        -1.7681E+004	        -1.9876E+004	         2.6602E+004	         1.7681E+004	         1.9876E+004	         7.3817E+001	         9.6690E+000
 6	         1.1706E+006	         2.0601E+006	         2.3695E+006	         1.1948E+006	         2.1026E+006	         8.5501E+003	         1.0065E+001
 7	         3.4085E+007	         4.1715E+007	         5.3877E+007	         3.5290E+007	         4.3191E+007	         8.3223E+005	         1.8725E+002
 8	        -9.6849E+009	        -1.5546E+010	         1.8317E+010	         1.0130E+010	         1.6259E+010	         1.0193E+008	         1.8726E+002
 9	         3.7660E+011	         1.2260E+011	         3.9621E+011	         3.9717E+011	         1.2978E+011	         1.2243E+010	         1.8200E+002
10	         3.2174E+013	         7.8150E+013	         8.4529E+013	         3.4162E+013	         8.2906E+013	         1.3553E+012	         6.7623E+000
