Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 3.1006E-005	        -2.7709E-004	  1.0504E-002	         3.9764E-002	 -2.2437E-001	        -1.8407E+000	 -7.0565E+001	        -1.9604E+001	  5.5548E-007	 8.1310E-007	 7.7880E-007	
 4.2392E-005	        -2.3930E-004	  9.7333E-003	         3.6397E-002	 -3.9489E-001	        -1.8760E+000	 -5.0464E+001	         5.6601E+000	  5.7830E-007	 1.7326E-007	 1.7774E-007	
 5.1524E-005	        -2.0402E-004	  8.8363E-003	         3.2527E-002	 -5.1896E-001	        -1.8085E+000	 -2.9725E+001	         2.8000E+001	  1.5382E-007	 5.1243E-007	 4.7141E-007	
 5.8394E-005	        -1.7242E-004	  7.8663E-003	         2.8723E-002	 -5.8340E-001	        -1.6728E+000	 -1.0272E+001	         4.4149E+001	  6.0261E-007	 4.9528E-007	 5.7568E-007	
 6.5929E-005	        -1.4505E-004	  6.7460E-003	         2.5539E-002	 -5.9122E-001	        -1.5217E+000	  5.2497E+000	         5.5186E+001	  3.2601E-007	 2.3283E-007	 2.2378E-007	
 7.3495E-005	        -1.2094E-004	  5.3873E-003	         2.3099E-002	 -5.4705E-001	        -1.3832E+000	  1.6834E+001	         6.0204E+001	  4.4552E-007	 6.1931E-007	 6.0756E-007	
 7.8488E-005	        -9.8972E-005	  4.2983E-003	         2.0610E-002	 -4.8386E-001	        -1.2121E+000	  2.3173E+001	         5.8472E+001	  4.0150E-007	 5.4444E-007	 3.8433E-007	
 8.1979E-005	        -7.8959E-005	  3.5181E-003	         1.8205E-002	 -4.1500E-001	        -1.0278E+000	  2.5353E+001	         5.1359E+001	  5.8521E-007	 5.7650E-007	 4.1832E-007	
 8.5752E-005	        -6.1609E-005	  2.6857E-003	         1.6336E-002	 -3.3931E-001	        -8.9909E-001	  2.3359E+001	         4.1312E+001	  2.1981E-007	 3.0382E-007	 3.2232E-007	
 8.7523E-005	        -4.5664E-005	  2.1289E-003	         1.4682E-002	 -2.7606E-001	        -7.9345E-001	  1.9476E+001	         2.9178E+001	  5.1283E-007	 5.0092E-007	 4.8125E-007	
 8.9867E-005	        -3.1754E-005	  1.5906E-003	         1.3197E-002	 -2.2321E-001	        -7.2555E-001	  1.4006E+001	         1.7080E+001	  1.7782E-007	 5.5085E-007	 2.8734E-007	
 9.2018E-005	        -1.8754E-005	  1.1029E-003	         1.2051E-002	 -1.8889E-001	        -7.1418E-001	  8.6129E+000	         6.9503E+000	  6.8147E-007	 8.8792E-007	 5.6615E-007	
 9.2599E-005	        -7.2041E-006	  8.1080E-004	         1.0540E-002	 -1.7445E-001	        -6.9354E-001	  3.5522E+000	        -2.2481E+000	  2.9743E-007	 1.4701E-007	 2.9023E-007	
 9.3373E-005	         3.0937E-006	  3.4705E-004	         9.2093E-003	 -1.6736E-001	        -7.1963E-001	  5.7605E-001	        -7.7178E+000	  7.4265E-007	 4.6141E-007	 7.3412E-007	
 9.3018E-005	         1.1777E-005	  9.7857E-005	         7.7435E-003	 -1.6845E-001	        -7.3741E-001	 -1.9126E+000	        -1.1835E+001	  5.5155E-007	 3.5752E-007	 5.4001E-007	
 9.2600E-005	         1.9179E-005	 -1.9321E-004	         6.2128E-003	 -1.7429E-001	        -7.6549E-001	 -2.9221E+000	        -1.2666E+001	  4.1181E-007	 5.3774E-007	 4.6942E-007	
 9.2753E-005	         2.5085E-005	 -6.3596E-004	         4.6823E-003	 -1.8338E-001	        -8.2147E-001	 -1.9640E+000	        -1.1549E+001	  7.6391E-007	 8.3607E-007	 6.8999E-007	
 9.1597E-005	         2.9533E-005	 -9.6652E-004	         3.1138E-003	 -1.8513E-001	        -8.4577E-001	 -7.3372E-001	        -9.2441E+000	  6.3310E-007	 6.2551E-007	 4.4393E-007	
 9.0178E-005	         3.2084E-005	 -1.3359E-003	         1.3649E-003	 -1.8843E-001	        -8.7525E-001	  6.4436E-001	        -6.0335E+000	  5.5476E-007	 4.6548E-007	 5.8949E-007	
 8.9003E-005	         3.2416E-005	 -1.6741E-003	        -2.9665E-004	 -1.8346E-001	        -8.7489E-001	  2.1694E+000	        -1.8009E+000	  5.2269E-007	 1.5659E-007	 4.9749E-007	
