Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap35\Translado35_X=-3_#018.dat
Data.................: 03/02/2005
Hora.................: 09:20:07
Ganho................: 10
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.1597E-005	         2.9533E-005	         9.6243E-005	         6.3310E-007	         6.2551E-007	         4.4393E-007	         1.9787E+002
 2	        -9.6652E-004	         3.1138E-003	         3.2606E-003	         7.6536E-004	         2.4619E-003	         3.0013E-005	         1.4362E+002
 3	        -1.8513E-001	        -8.4577E-001	         8.6580E-001	         1.6906E-001	         7.7210E-001	         5.3464E-003	         2.5885E+001
 4	        -7.3372E-001	        -9.2441E+000	         9.2776E+000	         7.8505E-001	         8.9772E+000	         6.9745E-001	         2.0137E+002
 5	         2.8186E+002	         7.7579E+002	         8.2650E+002	         2.8432E+002	         7.8108E+002	         8.5910E+001	         1.9401E+002
 6	         2.5422E+004	         6.3399E+004	         6.8868E+004	         2.7918E+004	         6.4760E+004	         4.0936E+003	         1.1358E+001
 7	        -3.5868E+006	        -3.8404E+006	         5.2710E+006	         3.8014E+006	         4.0324E+006	         9.5506E+005	         6.7079E+000
 8	        -8.5753E+006	         3.2345E+007	         1.4191E+008	         1.2932E+008	         1.0400E+008	         5.0390E+007	         1.7061E+002
 9	        -6.7484E+009	         7.8767E+009	         1.3242E+010	         1.0036E+010	         1.0664E+010	         3.1938E+009	         3.5451E+002
10	         3.8365E+011	        -4.8657E+011	         1.1609E+012	         1.1968E+012	         8.1783E+011	         6.8151E+011	         3.5483E+002
