Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap35\Translado35_X=2_#023.dat
Data.................: 03/02/2005
Hora.................: 09:30:03
Ganho................: 10
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.1976E-005	         2.4958E-005	         8.5692E-005	         6.4285E-007	         2.9605E-007	         6.3026E-007	         1.9693E+002
 2	        -2.6960E-003	        -5.5228E-003	         6.1459E-003	         2.1318E-003	         4.3664E-003	         4.0185E-005	         2.1199E+002
 3	        -1.3661E-001	        -8.5012E-001	         8.6104E-001	         1.2478E-001	         7.7608E-001	         5.5850E-003	         2.6957E+001
 4	         6.0287E+000	         1.0759E+001	         1.2347E+001	         5.8782E+000	         1.0423E+001	         4.0489E-001	         1.5184E+001
 5	         2.8709E+001	         8.8133E+002	         8.8228E+002	         4.3409E+001	         8.8383E+002	         6.6349E+001	         1.9763E+002
 6	        -3.5273E+004	        -3.9206E+004	         5.2838E+004	         3.6055E+004	         4.0227E+004	         2.7958E+003	         1.8800E+002
 7	         3.0394E+005	        -1.7446E+006	         1.9988E+006	         8.6349E+005	         2.3218E+006	         1.3048E+006	         1.6855E+002
 8	         1.6587E+008	         1.4431E+008	         2.6132E+008	         2.2612E+008	         1.7298E+008	         5.6947E+007	         5.1281E+000
 9	         4.9639E+009	         7.7269E+009	         1.2861E+010	         9.5148E+009	         1.2827E+010	         7.7488E+009	         1.8636E+002
10	         7.3365E+011	        -3.2477E+011	         2.0844E+012	         1.0300E+012	         2.7667E+012	         1.8345E+012	         3.5761E+002
