Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap24\Translado24_X=-15_#006.dat
Data.................: 11/02/2005
Hora.................: 09:14:10
Ganho................: 5
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         3.5237E-004	        -5.1097E-005	         3.5606E-004	         4.6648E-007	         7.8532E-007	         4.4449E-007	         1.7175E+002
 2	         1.8325E-003	         7.3453E-003	         7.5706E-003	         1.4495E-003	         5.8071E-003	         3.2216E-005	         3.7996E+001
 3	        -2.6203E+000	        -2.5498E+000	         3.6561E+000	         2.3920E+000	         2.3276E+000	         8.3256E-003	         1.4739E+001
 4	         3.1520E+002	         4.2560E+002	         5.2961E+002	         3.0519E+002	         4.1209E+002	         1.2684E+000	         1.3369E+001
 5	         4.6982E+003	        -7.9068E+003	         9.1974E+003	         4.6986E+003	         7.9069E+003	         6.2527E+001	         1.6814E+002
 6	        -2.8299E+006	        -2.5571E+006	         3.8141E+006	         2.8882E+006	         2.6099E+006	         1.2441E+004	         1.8702E+002
 7	         7.9017E+007	         7.6056E+007	         1.0968E+008	         8.1797E+007	         7.8731E+007	         7.7614E+005	         1.8627E+002
 8	         1.4258E+010	         1.2258E+010	         1.8803E+010	         1.4912E+010	         1.2820E+010	         1.4423E+008	         5.0857E+000
 9	        -8.2881E+011	        -2.4781E+011	         8.6511E+011	         8.7370E+011	         2.6142E+011	         9.9345E+009	         1.8496E+000
10	        -4.7686E+013	        -5.8574E+013	         7.5551E+013	         5.0590E+013	         6.2152E+013	         6.7950E+011	         1.8509E+002
