Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap100\Translado100_X=-7_#014.dat
Data.................: 26/01/2005
Hora.................: 14:47:52
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         7.1848E-005	        -1.4372E-005	         7.3273E-005	         1.2100E-007	         4.8675E-007	         8.7710E-008	         1.6869E+002
 2	        -8.4306E-004	         1.0844E-003	         1.3738E-003	         6.6674E-004	         8.5815E-004	         3.1574E-005	         1.5393E+002
 3	         7.5320E-002	        -1.2024E-001	         1.4191E-001	         6.8797E-002	         1.0983E-001	         3.0847E-003	         1.6069E+002
 4	         2.0463E-001	        -8.5654E-001	         8.9083E-001	         2.5248E-001	         8.5514E-001	         2.1307E-001	         3.4086E+002
 5	        -2.8039E+001	         6.7539E+001	         7.6017E+001	         3.8132E+001	         7.7052E+001	         3.8793E+001	         3.4651E+002
 6	         1.1275E+003	         8.2033E+001	         5.6570E+003	         4.1969E+003	         5.4016E+003	         2.6562E+003	         6.9352E-001
 7	        -2.3306E+005	         1.4525E+005	         5.4302E+005	         3.1343E+005	         5.9589E+005	         3.1338E+005	         3.5544E+002
 8	         4.3207E+007	        -3.4907E+007	         1.0167E+008	         5.5304E+007	         1.0435E+008	         3.8859E+007	         3.5513E+002
 9	        -1.8389E+009	         1.1740E+009	         8.4963E+009	         5.8662E+009	         8.8689E+009	         4.8473E+009	         3.5638E+002
10	         5.1212E+011	         2.8878E+010	         1.0327E+012	         7.5659E+011	         1.0171E+012	         5.5382E+011	         3.2275E-001
