Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap100\Translado100_X=20_#005.dat
Data.................: 26/01/2005
Hora.................: 15:52:41
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.0665E-004	        -5.6372E-005	         1.2063E-004	         3.5098E-007	         3.6742E-007	         4.5204E-007	         1.5214E+002
 2	         3.3454E-003	        -3.0960E-003	         4.5583E-003	         2.6449E-003	         2.4478E-003	         3.1439E-005	         3.3861E+002
 3	         4.5638E-002	        -1.0826E-002	         4.6984E-002	         4.1723E-002	         1.0465E-002	         2.7574E-003	         1.7555E+002
 4	        -1.9296E+000	         4.2203E-001	         1.9963E+000	         1.8753E+000	         5.4702E-001	         2.3186E-001	         1.7692E+002
 5	        -7.1019E+001	        -6.0170E+001	         1.0161E+002	         7.3479E+001	         7.6714E+001	         2.3328E+001	         8.0545E+000
 6	         6.1138E+002	        -1.3369E+003	         4.8206E+003	         1.8860E+003	         5.7904E+003	         2.9133E+003	         3.4910E+002
 7	        -9.2963E+004	         2.2454E+005	         5.1126E+005	         2.4605E+005	         5.5392E+005	         2.2624E+005	         3.5036E+002
 8	         8.0137E+006	        -3.3934E+007	         5.1833E+007	         1.8515E+007	         6.8238E+007	         4.2788E+007	         3.5041E+002
 9	        -2.7588E+009	         2.4695E+009	         6.3780E+009	         4.3605E+009	         6.6503E+009	         3.7810E+009	         3.5535E+002
10	         6.5882E+010	        -1.9881E+011	         8.7725E+011	         2.9516E+011	         1.0082E+012	         3.8364E+011	         3.5283E+002
