Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 9.6145E-005	        -4.5554E-005	 -2.8499E-003	         3.2377E-003	  7.0673E-002	        -2.1787E-002	  6.7505E-001	        -3.9979E+000	  2.1553E-007	 2.6826E-007	 1.2869E-007	
 9.2911E-005	        -4.2845E-005	 -2.6572E-003	         3.1574E-003	  7.2771E-002	        -3.6485E-002	  4.0414E-001	        -3.6208E+000	  2.3380E-007	 3.2306E-007	 1.0431E-007	
 9.0743E-005	        -3.9240E-005	 -2.5385E-003	         3.0882E-003	  7.3708E-002	        -4.6346E-002	  4.1828E-001	        -3.5853E+000	  1.6963E-007	 1.3320E-007	 1.5682E-007	
 8.8185E-005	        -3.6247E-005	 -2.3955E-003	         2.9855E-003	  7.3723E-002	        -5.4690E-002	  2.7241E-001	        -3.6278E+000	  2.0216E-007	 2.5012E-007	 1.4498E-007	
 8.5618E-005	        -3.3592E-005	 -2.2302E-003	         2.8505E-003	  7.5039E-002	        -6.6341E-002	  2.5525E-001	        -3.1475E+000	  2.2098E-007	 2.3726E-007	 2.9121E-007	
 8.3654E-005	        -3.0426E-005	 -2.0788E-003	         2.7209E-003	  7.4934E-002	        -7.4930E-002	  3.1805E-001	        -3.1216E+000	  1.2223E-007	 3.9661E-008	 1.1490E-007	
 8.1760E-005	        -2.7815E-005	 -1.9381E-003	         2.5701E-003	  7.6025E-002	        -8.4709E-002	  1.3893E-001	        -2.7799E+000	  2.3521E-007	 3.0425E-007	 3.1570E-007	
 7.9807E-005	        -2.5595E-005	 -1.7637E-003	         2.3727E-003	  7.6367E-002	        -9.0071E-002	  1.1003E-001	        -2.4625E+000	  3.3283E-007	 1.5083E-007	 3.2696E-007	
 7.8291E-005	        -2.2901E-005	 -1.6281E-003	         2.2037E-003	  7.5708E-002	        -9.7563E-002	  1.7532E-001	        -2.2581E+000	  1.3700E-007	 1.4273E-007	 1.2910E-007	
 7.6451E-005	        -2.0778E-005	 -1.4676E-003	         1.9905E-003	  7.5434E-002	        -1.0415E-001	  1.7423E-001	        -2.0240E+000	  1.0391E-007	 2.1476E-007	 1.2785E-007	
 7.4933E-005	        -1.9226E-005	 -1.2948E-003	         1.7641E-003	  7.5250E-002	        -1.0786E-001	  5.8215E-002	        -1.6842E+000	  2.0530E-007	 1.9739E-007	 2.0869E-007	
 7.3653E-005	        -1.7469E-005	 -1.1388E-003	         1.5424E-003	  7.5444E-002	        -1.1270E-001	  1.8752E-001	        -1.3495E+000	  2.7979E-007	 2.9281E-007	 2.2157E-007	
 7.2550E-005	        -1.5754E-005	 -9.9445E-004	         1.3294E-003	  7.4675E-002	        -1.1729E-001	  1.5349E-001	        -1.1428E+000	  2.0139E-007	 1.4102E-007	 1.9206E-007	
 7.1848E-005	        -1.4372E-005	 -8.4306E-004	         1.0844E-003	  7.5320E-002	        -1.2024E-001	  2.0463E-001	        -8.5654E-001	  1.2100E-007	 4.8675E-007	 8.7710E-008	
 7.0991E-005	        -1.3393E-005	 -7.0645E-004	         8.4166E-004	  7.7385E-002	        -1.2086E-001	  2.2183E-001	        -7.2089E-001	  3.7811E-007	 2.1834E-007	 3.6667E-007	
